"Barry"
"https://www.eia.gov/beta/electricity/data/browser/#/plant/3?freq=M&start=202001&end=202412&ctype=linechart&ltype=sourcekey&tab=generation&columnchart=ELEC.PLANT.GEN.3-ALL-ALL.M&maptype=0&pin=&linechart=ELEC.PLANT.GEN.3-ALL-ALL.M~ELEC.PLANT.GEN.3-ANT-ALL.M~ELEC.PLANT.GEN.3-BIT-ALL.M~ELEC.PLANT.GEN.3-DFO-ALL.M~ELEC.PLANT.GEN.3-JF-ALL.M~ELEC.PLANT.GEN.3-KER-ALL.M~ELEC.PLANT.GEN.3-LIG-ALL.M~ELEC.PLANT.GEN.3-NG-ALL.M~ELEC.PLANT.GEN.3-PC-ALL.M~ELEC.PLANT.GEN.3-RC-ALL.M~ELEC.PLANT.GEN.3-RFO-ALL.M~ELEC.PLANT.GEN.3-SC-ALL.M~ELEC.PLANT.GEN.3-SUB-ALL.M~ELEC.PLANT.GEN.3-WC-ALL.M~ELEC.PLANT.GEN.3-NG-CA.M~ELEC.PLANT.GEN.3-DFO-CT.M~ELEC.PLANT.GEN.3-NG-CT.M~ELEC.PLANT.GEN.3-SUB-CT.M~ELEC.PLANT.GEN.3-ANT-ST.M~ELEC.PLANT.GEN.3-BIT-ST.M~ELEC.PLANT.GEN.3-DFO-ST.M~ELEC.PLANT.GEN.3-JF-ST.M~ELEC.PLANT.GEN.3-KER-ST.M~ELEC.PLANT.GEN.3-LIG-ST.M~ELEC.PLANT.GEN.3-NG-ST.M~ELEC.PLANT.GEN.3-PC-ST.M~ELEC.PLANT.GEN.3-RC-ST.M~ELEC.PLANT.GEN.3-RFO-ST.M~ELEC.PLANT.GEN.3-SC-ST.M~ELEC.PLANT.GEN.3-SUB-ST.M~ELEC.PLANT.GEN.3-WC-ST.M"
"Fri Mar 13 2026 11:00:01 GMT-0500 (Central Daylight Time)"
"Source: U.S. Energy Information Administration"
" ","units","Jan 2020","Feb 2020","Mar 2020","Apr 2020","May 2020","Jun 2020","Jul 2020","Aug 2020","Sep 2020","Oct 2020","Nov 2020","Dec 2020","Jan 2021","Feb 2021","Mar 2021","Apr 2021","May 2021","Jun 2021","Jul 2021","Aug 2021","Sep 2021","Oct 2021","Nov 2021","Dec 2021","Jan 2022","Feb 2022","Mar 2022","Apr 2022","May 2022","Jun 2022","Jul 2022","Aug 2022","Sep 2022","Oct 2022","Nov 2022","Dec 2022","Jan 2023","Feb 2023","Mar 2023","Apr 2023","May 2023","Jun 2023","Jul 2023","Aug 2023","Sep 2023","Oct 2023","Nov 2023","Dec 2023","Jan 2024","Feb 2024","Mar 2024","Apr 2024","May 2024","Jun 2024","Jul 2024","Aug 2024","Sep 2024","Oct 2024","Nov 2024","Dec 2024"
"Net generation-all primemovers-refined coal","megawatthours","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Net generation-all primemovers-residual fuel oil","megawatthours","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Net generation-all primemovers-synthetic coal","megawatthours","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Net generation-all primemovers-subbituminous coal","megawatthours","--",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"--",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Net generation-all primemovers-waste/other coal","megawatthours","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Net generation-all primemovers-waste/other coal","megawatthours",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Net generation-combined-cycle - steam part-natural gas","megawatthours","--",246804,257145,215636,197459,253075,246061,266400,254351,220717,248068,227801,267855,211532,151640,208134,246122,253273,262176,262090,168852,218962,239159,215057,258756,202005,236003,237357,178672,256918,239317,256720,245451,266006,193493,246985,"--",223553,138515,132677,128349,246193,269584,204626,132785,134782,214912,398808,397842,381637,342909,301512,389596,405885,433857,433183,400744,380868,346913,304665
"Net generation-combined-cycle - steam part-natural gas","megawatthours",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Net generation-combined-cycle combustion turbine part-distillate fuel oil","megawatthours","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Net generation-combined-cycle combustion turbine part-natural gas","megawatthours","--",477282,482890,413612,384376,492008,481016,507562,486059,420338,483657,455550,529293,426147,304555,409135,464941,481673,500085,508372,326341,415733,444712,411216,495717,379007,443449,442195,340325,485296,440871,477499,462033,517930,376873,474948,"--",436106,267251,256299,248810,470594,514303,390390,252226,266871,420357,800849,791439,754359,685854,583917,723389,755776,783231,789596,762657,735257,675220,612763
