UTILITY_ID,UTILNAME,STATE_CODE,YEAR,MONTH,RES_REV (Thousand $),RES_SALES (MWh),RES_CONS ,COM_REV (Thousand $),COM_SALES (MWh),COM_CONS,IND_REV (Thousand $),IND_SALES (MWh),IND_CONS,OTH_REV (Thousand $),OTH_SALES (MWh),OTH_CONS,TOT_REV (Thousand $),TOT_SALES (MWh),TOT_CONS
11208,Los Angeles City of,CA,2007R,1,66923,646716,1244981,108216,1119388,187030,17886,203658,13660,1127,12922,319,194152,1982684,1445990
12745,Modesto Irrigation District,CA,2007R,1,8279,73227,92339,5498,58468,18952,3382,53895,165,0,0,0,17159,185590,111456
14328,Pacific Gas & Electric Co,CA,2007R,1,473886,3073711,4699314,328647,2817135,657364,76280,899705,1134,0,0,0,878813,6790551,5357812
14354,PacifiCorp,CA,2007R,1,5263,57322,35067,2913,32841,7637,363,5771,1947,0,0,0,8539,95934,44651
14534,City of Pasadena,CA,2007R,1,4080,31406,52876,8170,69425,9050,0,0,0,78,674,1,12328,101505,61927
16534,Sacramento Municipal Util Dist,CA,2007R,1,49583,474385,519891,6282,59959,53021,33176,390771,12793,214,2689,124,89255,927804,585829
16609,San Diego Gas & Electric Co,CA,2007R,1,120914,731886,1203065,76562,562855,146482,18671,170888,503,745,8260,4,216892,1473889,1350054
16612,San Francisco City & County of,CA,2007R,1,0,0,0,4157,56802,5,54,1094,1,327,8722,1,4538,66618,7
17166,Sierra Pacific Power Co,CA,2007R,1,4773,32875,40236,2280,16749,5229,2260,20758,46,0,0,0,9313,70382,45511
17609,Southern California Edison Co,CA,2007R,1,449629,2706607,4196075,398216,3235298,559340,70219,680391,35931,638,5490,58,918702,6627786,4791404
17612,Southern California Water Co,CA,2007R,1,1831,8334,21746,1030,4707,1499,497,3568,4,0,0,0,3358,16609,23249
18260,Surprise Valley Electrification Corp.,CA,2007R,1,300,4553,2756,64,931,802,26,363,713,0,0,0,390,5847,4271
19281,Turlock Irrigation District,CA,2007R,1,6500,59056,71006,1827,22906,23278,5126,69238,3341,0,0,0,13453,151200,97625
19840,"Valley Electric Assn, Inc",CA,2007R,1,2,15,14,0,0,0,1,2,29,0,0,0,3,17,43
27000,Western Area Power Admn.,CA,2007R,1,,,,,,,,,,10,453,1,10,453,1
88888,Total EPM,CA,2007R,1,1258149,8398960,0,1117944,9689900,0,366599,3971227,0,,,0,2748937,22130082,0
0,State Level Adjustment,CO,2007R,1,30488,329483,0,18255,227777,0,15764,256297,0,,,0,64507,813558,0
3989,Colorado Springs City of,CO,2007R,1,12018,141096,181679,11734,171850,24106,5960,98139,218,0,0,0,29712,411085,206003
6604,Fort Collins City of,CO,2007R,1,2934,43644,55728,2208,43131,6727,1421,34776,18,0,0,0,6563,121551,62473
9336,Intermountain Rural Elec Assn,CO,2007R,1,12723,143580,123176,3752,45717,10675,794,13207,58,0,0,0,17269,202504,133909
10066,K C Electric Association,CO,2007R,1,423,4166,3215,484,5353,2283,24,364,759,0,0,0,931,9883,6257
12698,Aquila Inc,CO,2007R,1,5771,56424,80022,4365,55259,11561,2473,38787,100,0,0,0,12609,150470,91683
12866,Moon Lake Electric Assn Inc,CO,2007R,1,108,1801,1503,198,2907,675,2504,44097,11,0,0,0,2810,48805,2189
15257,"Poudre Valley R  E  A, Inc",CO,2007R,1,3490,40657,30865,505,5653,3467,2632,41799,957,0,0,0,6627,88109,35289
15466,Public Service Co of Colorado,CO,2007R,1,78471,877117,1114945,85837,1109666,207586,26997,469760,335,309,4092,1,191614,2460635,1322867
16603,"San Luis Valley R E C, Inc",CO,2007R,1,967,8237,8401,355,3437,932,41,611,2619,0,0,0,1363,12285,11952
19499,"United Power, Inc",CO,2007R,1,5372,55315,52341,3281,39504,9115,506,6703,645,0,0,0,9159,101522,62101
88888,Total EPM,CO,2007R,1,152765,1701520,0,130974,1710254,0,59116,1004540,0,,,0,343164,4420407,0
0,State Level Adjustment,CT,2007R,1,14628,48090,0,27279,179601,0,19415,142805,0,,,0,61296,370310,0
4176,Connecticut Light & Power Co,CT,2007R,1,174551,949195,1054198,117270,727287,110407,21613,136113,3661,2232,14368,2,315666,1826963,1168268
7716,Groton Dept of Utilities,CT,2007R,1,1519,10733,10691,1432,11433,1543,2946,27910,3,0,0,0,5897,50076,12237
19497,United Illuminating Co,CT,2007R,1,39518,211778,291501,39414,227421,30206,8376,63728,1491,0,0,0,87308,502927,323198
20038,Wallingford Town of,CT,2007R,1,2412,21574,20896,2298,21219,3593,1095,11545,23,0,0,0,5805,54338,24512
88888,Total EPM,CT,2007R,1,232628,1241370,0,187693,1166961,0,53445,382101,0,,,0,475972,2804614,0
0,State Level Adjustment,DC,2007R,1,261,2193,0,56718,528059,0,2303,27181,0,,,0,61999,584150,0
