UTILITY CHARATERISTICS,,,,,,,RESIDENTIAL,,,COMMERCIAL,,,INDUSTRIAL,,,TRANSPORTATION,,,TOTAL,,
2020,1,88888,Total EPM,AK,,Final,"51,677.813","231,386.843","313,464","48,547.653","246,456.358","61,492","20,099.185","115,563.986","1,107",0.000,0.000,0,"120,325","593,407","376,063"
2020,1,0,Adjustment 2020,AL,,Final,"90,719.255","808,624.786","714,168","45,493.788","426,199.240","126,101","20,098.707","305,509.210",252,0.000,0.000,0,"156,312","1,540,333","840,521"
2020,1,195,Alabama Power Co,AL,Investor Owned,Final,"198,662.000","1,491,420.000","1,281,699","128,100.000","1,047,632.000","200,865","108,259.000","1,866,104.000","6,172",0.000,0.000,0,"435,021","4,405,156","1,488,736"
2020,1,4958,Decatur Utilities,AL,Municipal,Final,"3,048.000","28,495.000","22,655","2,606.000","23,594.000","4,011","2,437.000","45,901.000",11,0.000,0.000,0,"8,091","97,990","26,677"
2020,1,6422,City of Florence - (AL),AL,Municipal,Final,"5,961.889","56,448.550","40,732","3,399.002","29,372.802","8,497","1,008.935","12,137.508",733,0.000,0.000,0,"10,370","97,959","49,962"
2020,1,9094,City of Huntsville - (AL),AL,Municipal,Final,"23,419.000","227,113.000","166,830","16,980.000","164,682.000","22,373","2,433.000","36,824.000",26,0.000,0.000,0,"42,832","428,619","189,229"
2020,1,9739,Joe Wheeler Elec Member Corp,AL,Cooperative,Final,"6,188.000","51,400.000","35,178","2,837.000","22,371.000","8,504","3,787.000","67,549.000",21,0.000,0.000,0,"12,812","141,320","43,703"
2020,1,17252,Singing River Elec Cooperative,AL,Cooperative,Final,40.879,327.305,322,4.464,38.113,15,0.000,0.000,0,0.000,0.000,0,45,365,337
2020,1,18642,Tennessee Valley Authority,AL,Federal,Final,0.000,0.000,0,"2,235.000","33,146.000",1,"16,282.000","431,540.000",10,0.000,0.000,0,"18,517","464,686",11
2020,1,88888,Total EPM,AL,,Final,"328,039.023","2,663,828.641","2,261,584","201,655.254","1,747,035.155","370,367","154,305.642","2,765,564.718","7,225",0.000,0.000,0,"684,000","7,176,429","2,639,176"
2020,1,0,Adjustment 2020,AR,,Final,"38,427.948","406,615.191","379,582","17,118.912","203,786.107","49,212","15,456.086","229,442.481","8,509",-0.002,0.048,0,"71,003","839,844","437,303"
2020,1,814,Entergy Arkansas LLC,AR,Investor Owned,Final,"77,376.313","747,742.358","596,459","35,663.790","456,911.724","96,085","27,306.578","602,099.391","24,408",1.182,9.280,1,"140,348","1,806,763","716,953"
2020,1,817,Arkansas Valley Elec Coop Corp,AR,Cooperative,Final,"7,318.392","68,659.172","51,826","1,240.904","12,727.638","3,982","1,020.287","17,939.386",40,0.000,0.000,0,"9,580","99,326","55,848"
2020,1,3093,Carroll Electric Coop Corp - (AR),AR,Cooperative,Final,"10,191.730","108,329.742","85,007","2,348.430","29,409.248","5,925","1,714.127","28,994.882",47,0.000,0.000,0,"14,254","166,734","90,979"
2020,1,5860,Empire District Electric Co,AR,Investor Owned,Final,435.032,"3,902.517","4,032",271.893,"3,116.737",804,452.579,"6,134.703",9,0.000,0.000,0,"1,160","13,154","4,845"
2020,1,6342,First Electric Coop Corp,AR,Cooperative,Final,"11,721.514","126,092.572","88,485","1,538.719","16,003.467","5,998","1,746.138","34,211.674",981,0.000,0.000,0,"15,006","176,308","95,464"
2020,1,12681,Mississippi County Electric Co,AR,Cooperative,Final,351.851,"5,883.995","3,223",109.057,"1,719.589",755,"12,190.438","276,286.975",822,0.000,0.000,0,"12,651","283,891","4,800"
2020,1,13718,City of North Little Rock - (AR),AR,Municipal,Final,"2,965.000","26,354.000","33,775","2,017.000","18,819.000","5,053","1,502.000","19,807.000",138,2.000,21.000,1,"6,486","65,001","38,967"
2020,1,14063,Oklahoma Gas & Electric Co,AR,Investor Owned,Final,"4,800.998","68,753.159","56,451","4,094.907","58,463.074","10,949","4,113.011","93,058.750",422,0.000,0.000,0,"13,009","220,275","67,822"
2020,1,17698,Southwestern Electric Power Co,AR,Investor Owned,Final,"10,045.266","100,683.905","103,304","7,707.544","102,043.959","18,333","4,918.706","87,311.022",642,0.000,0.000,0,"22,672","290,039","122,279"
2020,1,88888,Total EPM,AR,,Final,"163,634.044","1,663,016.611","1,402,144","72,111.156","903,000.543","197,096","70,419.950","1,395,286.264","36,018",3.180,30.328,2,"306,168","3,961,334","1,635,260"
2020,1,0,Adjustment 2020,AZ,,Final,"14,561.400","123,240.696","94,913","12,737.749","134,336.094","26,365","6,768.106","117,527.886","3,585",0.035,0.040,0,"34,067","375,105","124,863"
2020,1,176,Ajo Improvement Co,AZ,Investor Owned,Final,38.710,417.000,807,19.640,227.000,218,0.000,0.000,0,0.000,0.000,0,58,644,"1,025"
2020,1,803,Arizona Public Service Co,AZ,Investor Owned,Final,"121,926.575","965,672.421","1,144,315","90,092.850","918,513.612","134,866","12,512.751","167,236.877","3,327",0.000,0.000,0,"224,532","2,051,423","1,282,508"
2020,1,12919,Morenci Water and Electric,AZ,Investor Owned,Final,135.760,"1,621.000","2,189",82.990,"1,332.900",411,"7,492.490","235,939.000",2,0.000,0.000,0,"7,711","238,893","2,602"
2020,1,13314,Navajo Tribal Utility Authority,AZ,State,Final,"2,864.000","20,959.000","25,549","3,166.000","21,034.000","3,233",749.000,"7,799.000",3,0.000,0.000,0,"6,779","49,792","28,785"
2020,1,16572,Salt River Project,AZ,Political Subdivision,Final,"86,625.000","885,189.000","974,240","64,978.050","846,699.100","104,924","15,762.000","340,592.000",47,64.949,842.000,1,"167,430","2,073,322","1,079,212"
2020,1,19189,Trico Electric Cooperative Inc,AZ,Cooperative,Final,"5,328.900","36,634.217","46,695","1,831.576","14,422.437","2,161",252.617,"3,711.670",27,0.000,0.000,0,"7,413","54,768","48,883"
2020,1,19728,"UNS Electric, Inc",AZ,Investor Owned,Final,"7,182.041","72,056.128","87,648","4,940.060","51,234.780","11,704",724.808,"9,979.610",7,0.000,0.000,0,"12,847","133,271","99,359"
2020,1,21538,"Mohave Electric Cooperative, I",AZ,Cooperative,Final,"3,361.300","29,567.300","37,620","1,468.800","14,560.200","4,209",480.900,"6,591.900",25,0.000,0.000,0,"5,311","50,719","41,854"
2020,1,24211,Tucson Electric Power Co,AZ,Investor Owned,Final,"31,545.209","259,388.360","390,147","17,902.203","149,124.789","40,856","15,651.213","237,268.068",506,16.164,137.348,1,"65,115","645,919","431,510"
2020,1,25866,Ak-Chin Electric Utility Authority,AZ,State,Final,21.011,246.000,318,204.234,"2,846.000",123,4.450,62.000,33,0.000,0.000,0,230,"3,154",474
2020,1,27000,WAPA-- Western Area Power Administration,AZ,Federal,Final,0.000,0.000,0,111.461,"5,486.068",12,210.575,"12,260.897",5,0.000,0.000,0,322,"17,747",17
2020,1,57313,SolarCity Corporation,AZ,Behind the Meter,Final,"4,601.915","27,446.954","40,229",531.980,"4,767.720",833,0.000,0.000,0,0.000,0.000,0,"5,134","32,215","41,062"
2020,1,59086,"Constellation Solar Holding, LLC",AZ,Behind the Meter,Final,0.000,0.000,0,537.620,"5,226.970",9,0.000,0.000,0,0.000,0.000,0,538,"5,227",9
2020,1,59579,Sunnova,AZ,Behind the Meter,Final,232.140,"1,121.818","1,677",0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,232,"1,122","1,677"
2020,1,59580,"SunPower Capital, LLC",AZ,Behind the Meter,Final,"1,420.323","11,663.904","11,147",0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,"1,420","11,664","11,147"
2020,1,59624,"Vivint Solar, Inc.",AZ,Behind the Meter,Final,542.260,"3,683.420","4,420",0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,542,"3,683","4,420"
2020,1,59647,Sunrun Inc.,AZ,Behind the Meter,Final,"3,185.349","16,961.574","22,676",0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,"3,185","16,962","22,676"
2020,1,59943,Spruce Finance,AZ,Behind the Meter,Final,107.073,672.801,901,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,107,673,901
2020,1,60025,Greenbacker Renewable Energy Corporation,AZ,Behind the Meter,Final,63.225,458.963,489,5.937,97.320,4,0.000,0.000,0,0.000,0.000,0,69,556,493
2020,1,60981,"TerraForm US Energy Services, LLC",AZ,Behind the Meter,Final,0.000,0.000,0,121.705,"1,113.599",29,0.000,0.000,0,0.000,0.000,0,122,"1,114",29
2020,1,61098,Longroad Energy,AZ,Behind the Meter,Final,0.000,0.000,0,45.753,558.838,16,0.000,0.000,0,0.000,0.000,0,46,559,16
2020,1,61823,"Greenskies Renewable Energy, LLC",AZ,Behind the Meter,Final,0.000,0.000,0,78.300,898.500,1,0.000,0.000,0,0.000,0.000,0,78,899,1
2020,1,88888,Total EPM,AZ,,Final,"283,742.191","2,457,000.556","2,885,980","198,856.908","2,172,479.927","329,974","60,608.910","1,138,968.908","7,567",81.148,979.388,2,"543,289","5,769,429","3,223,523"
2020,1,0,Adjustment 2020,CA,,Final,"490,998.687","2,302,900.766","4,124,866","522,455.468","3,471,282.612","596,491","165,622.833","1,526,126.227","8,573","1,711.814","35,673.667",1,"1,180,789","7,335,983","4,729,931"
2020,1,4390,City of Corona - (CA),CA,Municipal,Final,88.179,590.986,"1,282",401.826,"3,325.827",536,249.395,"2,590.979",9,0.000,0.000,0,739,"6,508","1,827"
2020,1,9216,Imperial Irrigation District,CA,Political Subdivision,Final,"12,665.000","97,147.000","134,986","13,721.000","113,409.000","21,311",775.000,"4,673.000",814,0.000,0.000,0,"27,161","215,229","157,111"
2020,1,11208,Los Angeles Department of Water & Power,CA,Municipal,Final,"134,277.799","670,269.809","1,356,432","166,302.675","922,798.162","89,443","16,589.906","93,521.510","9,265","1,662.577","9,597.706",2,"318,833","1,696,187","1,455,142"
2020,1,12745,Modesto Irrigation District,CA,Political Subdivision,Final,"12,230.985","72,803.801","99,935","7,974.265","59,363.233","29,470","5,241.174","53,862.617",129,0.000,0.000,0,"25,446","186,030","129,534"
2020,1,14328,Pacific Gas & Electric Co.,CA,Investor Owned,Final,"276,595.000","1,257,657.000","2,246,781","177,411.000","865,443.000","267,319","102,833.000","673,205.000","95,289",0.000,0.000,0,"556,839","2,796,305","2,609,389"
2020,1,14354,PacifiCorp,CA,Investor Owned,Final,"5,980.131","38,204.608","36,131","3,375.481","22,953.846","7,520",556.319,"4,374.340","1,943",0.000,0.000,0,"9,912","65,533","45,594"
2020,1,14534,City of Pasadena - (CA),CA,Municipal,Final,"5,626.400","27,290.336","56,621","10,345.471","53,915.506","8,470",0.000,0.000,0,132.701,778.698,1,"16,105","81,985","65,092"
2020,1,16534,Sacramento Municipal Util Dist,CA,Political Subdivision,Final,"47,321.291","372,066.456","565,826","38,672.733","289,026.680","68,748","16,601.027","168,287.892","2,559",278.437,"2,556.561",1,"102,873","831,938","637,134"
2020,1,16609,San Diego Gas & Electric Co,CA,Investor Owned,Final,"144,045.255","575,130.682","1,305,104","109,439.081","494,265.149","153,138","31,553.177","164,514.761",407,901.030,"5,160.000",5,"285,939","1,239,071","1,458,654"
2020,1,16612,City & County of San Francisco,CA,Municipal,Final,131.351,574.665,"1,122","9,209.146","74,199.557",352,22.751,473.465,1,696.064,"8,833.220",1,"10,059","84,081","1,476"
2020,1,16655,City of Santa Clara - (CA),CA,Municipal,Final,"2,771.744","22,533.371","48,954","1,680.256","10,563.439","6,149","31,656.889","278,634.518","1,597",14.428,79.304,1,"36,123","311,811","56,701"
2020,1,17609,Southern California Edison Co,CA,Investor Owned,Final,"382,660.000","2,209,410.000","3,543,071","315,369.000","2,541,482.000","476,363","34,630.000","358,108.000","25,699",0.000,0.000,0,"732,659","5,109,000","4,045,133"
2020,1,17612,Bear Valley Electric Service,CA,Investor Owned,Final,"2,657.154","9,387.234","22,920",856.090,"3,331.072","1,497",505.024,"3,550.788",7,0.000,0.000,0,"4,018","16,269","24,424"
2020,1,18260,Surprise Valley Electrification,CA,Cooperative,Final,386.206,"4,157.609","2,818",106.501,"1,094.235",937,37.916,359.760,147,0.000,0.000,0,531,"5,612","3,902"
2020,1,19281,Turlock Irrigation District,CA,Political Subdivision,Final,"9,278.000","61,023.000","78,075","4,730.000","39,701.000","20,535","5,597.000","50,745.000","4,397",0.000,0.000,0,"19,605","151,469","103,007"
2020,1,19840,"Valley Electric Assn, Inc",CA,Cooperative,Final,1.439,9.923,12,0.140,0.559,2,0.294,3.277,30,0.000,0.000,0,2,14,44
2020,1,27000,WAPA-- Western Area Power Administration,CA,Federal,Final,0.000,0.000,0,"4,745.519","101,699.595",44,"3,966.434","144,652.640",48,20.059,715.000,1,"8,732","247,067",93
2020,1,57313,SolarCity Corporation,CA,Behind the Meter,Final,"11,891.277","49,241.916","145,268","2,177.750","17,373.380","5,225",0.000,0.000,0,0.000,0.000,0,"14,069","66,615","150,493"
2020,1,59086,"Constellation Solar Holding, LLC",CA,Behind the Meter,Final,0.000,0.000,0,643.370,"3,895.010",18,4.950,51.050,1,0.000,0.000,0,648,"3,946",19
2020,1,59579,Sunnova,CA,Behind the Meter,Final,"2,215.808","8,347.470","20,228",0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,"2,216","8,347","20,228"
2020,1,59580,"SunPower Capital, LLC",CA,Behind the Meter,Final,"6,182.778","22,191.158","43,767",0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,"6,183","22,191","43,767"
2020,1,59622,"Ahana Renewables, LLC",CA,Behind the Meter,Final,0.000,0.000,0,139.612,619.761,25,0.000,0.000,0,0.000,0.000,0,140,620,25
2020,1,59624,"Vivint Solar, Inc.",CA,Behind the Meter,Final,"4,623.113","26,271.002","72,189",0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,"4,623","26,271","72,189"
2020,1,59647,Sunrun Inc.,CA,Behind the Meter,Final,"13,573.161","39,111.288","85,749",0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,"13,573","39,111","85,749"
2020,1,59943,Spruce Finance,CA,Behind the Meter,Final,978.091,"5,983.411","12,777",0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,978,"5,983","12,777"
2020,1,60025,Greenbacker Renewable Energy Corporation,CA,Behind the Meter,Final,109.081,464.987,"1,274",14.000,112.180,4,0.000,0.000,0,0.000,0.000,0,123,577,"1,278"
2020,1,60981,"TerraForm US Energy Services, LLC",CA,Behind the Meter,Final,0.000,0.000,0,327.153,"2,068.747",82,0.000,0.000,0,0.000,0.000,0,327,"2,069",82
2020,1,61098,Longroad Energy,CA,Behind the Meter,Final,0.000,0.000,0,509.962,"3,027.923",157,0.000,0.000,0,0.000,0.000,0,510,"3,028",157
2020,1,61823,"Greenskies Renewable Energy, LLC",CA,Behind the Meter,Final,0.000,0.000,0,262.600,"3,398.000",3,0.000,0.000,0,0.000,0.000,0,263,"3,398",3
2020,1,88888,Total EPM,CA,,Final,"1,567,287.930","7,872,768.478","14,006,188","1,390,870.099","9,098,349.473","1,753,839","416,443.089","3,527,734.824","150,915","5,417.110","63,394.156",13,"3,380,018","20,562,247","15,910,955"
2020,1,0,Adjustment 2020,CO,,Final,"40,529.485","309,535.711","435,386","29,188.076","266,103.706","74,247","22,704.015","275,277.481","7,594",0.003,-0.044,0,"92,422","850,917","517,227"
2020,1,3989,City of Colorado Springs - (CO),CO,Municipal,Final,"17,717.652","141,670.664","200,108","8,750.387","101,955.285","35,042","13,026.342","192,442.647","1,609",0.000,0.000,0,"39,494","436,069","236,759"
2020,1,6604,City of Fort Collins - (CO),CO,Municipal,Final,"4,885.193","46,916.116","67,408","3,590.200","41,101.918","8,947","2,728.184","39,199.050",14,0.000,0.000,0,"11,204","127,217","76,369"
2020,1,9336,Intermountain Rural Elec Assn,CO,Cooperative,Final,"18,067.000","139,919.000","148,889","6,407.000","57,891.000","13,173",595.000,"7,209.000",48,0.000,0.000,0,"25,069","205,019","162,110"
2020,1,10066,K C Electric Association,CO,Cooperative,Final,474.000,"3,675.000","3,350","1,114.000","10,438.000","2,518",6.000,43.000,694,0.000,0.000,0,"1,594","14,156","6,562"
2020,1,12866,Moon Lake Electric Assn Inc,CO,Cooperative,Final,132.303,"1,804.932","1,532",128.394,"1,681.983",585,"2,868.493","42,613.979",126,0.000,0.000,0,"3,129","46,101","2,243"
2020,1,15257,"Poudre Valley REA, Inc",CO,Cooperative,Final,"5,381.666","46,774.357","39,680","3,039.888","27,908.523","4,466","3,410.642","47,830.680",716,0.000,0.000,0,"11,832","122,514","44,862"
2020,1,15466,Public Service Co of Colorado,CO,Investor Owned,Final,"88,781.955","842,873.475","1,291,879","93,786.819","1,079,225.506","217,934","32,470.668","531,361.654",322,772.107,"9,283.883",1,"215,812","2,462,745","1,510,136"
2020,1,16603,"San Luis Valley R E C, Inc",CO,Cooperative,Final,"1,337.000","9,032.000","8,649",630.000,"5,540.000","1,455",640.000,188.000,"2,608",0.000,0.000,0,"2,607","14,760","12,712"
2020,1,19499,"United Power, Inc",CO,Cooperative,Final,"8,896.287","66,697.981","82,858","5,333.464","49,352.751","10,272","10,181.161","123,274.793",778,0.000,0.000,0,"24,411","239,326","93,908"
2020,1,27000,WAPA-- Western Area Power Administration,CO,Federal,Final,0.000,0.000,0,119.159,"4,834.831",6,9.098,272.110,3,0.000,0.000,0,128,"5,107",9
2020,1,27058,"High West Energy, Inc",CO,Cooperative,Final,87.000,666.000,648,36.000,305.000,19,"1,072.000","10,062.000",360,0.000,0.000,0,"1,195","11,033","1,027"
2020,1,56146,"Black Hills Colorado Electric, LLC",CO,Investor Owned,Final,"8,507.785","52,616.000","85,793","7,710.162","71,230.000","11,979","2,858.952","38,545.000",55,0.000,0.000,0,"19,077","162,391","97,827"
2020,1,57313,SolarCity Corporation,CO,Behind the Meter,Final,716.101,"4,987.498","12,897",57.941,189.556,"1,001",0.000,0.000,0,0.000,0.000,0,774,"5,177","13,898"
2020,1,59579,Sunnova,CO,Behind the Meter,Final,1.032,7.621,32,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,1,8,32
2020,1,59580,"SunPower Capital, LLC",CO,Behind the Meter,Final,68.462,688.578,"1,139",0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,68,689,"1,139"
2020,1,59624,"Vivint Solar, Inc.",CO,Behind the Meter,Final,1.028,6.721,14,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,1,7,14
2020,1,59647,Sunrun Inc.,CO,Behind the Meter,Final,365.317,"1,889.402","4,250",0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,365,"1,889","4,250"
2020,1,59943,Spruce Finance,CO,Behind the Meter,Final,34.571,403.812,745,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,35,404,745
2020,1,60025,Greenbacker Renewable Energy Corporation,CO,Behind the Meter,Final,20.263,133.048,676,9.053,177.520,27,0.000,0.000,0,0.000,0.000,0,29,311,703
2020,1,60981,"TerraForm US Energy Services, LLC",CO,Behind the Meter,Final,0.000,0.000,0,4.880,102.965,13,0.000,0.000,0,0.000,0.000,0,5,103,13
2020,1,61098,Longroad Energy,CO,Behind the Meter,Final,0.000,0.000,0,27.092,392.967,16,0.000,0.000,0,0.000,0.000,0,27,393,16
2020,1,88888,Total EPM,CO,,Final,"196,004.100","1,670,297.916","2,385,933","159,932.515","1,718,431.511","381,700","92,570.555","1,308,319.394","14,927",772.110,"9,283.839",1,"449,279","4,706,333","2,782,561"
2020,1,0,Adjustment 2020,CT,,Final,"73,521.093","306,861.684","349,856","121,880.776","750,635.913","62,988","24,755.903","176,236.861","2,231",309.544,"2,119.506",1,"220,467","1,235,854","415,076"
2020,1,4176,Connecticut Light & Power Co,CT,Investor Owned,Final,"149,038.154","697,324.450","893,521","29,076.246","156,827.341","70,105","2,161.878","10,051.941","1,664","2,033.289","11,988.922",1,"182,310","876,193","965,291"
2020,1,7716,Groton Dept of Utilities - (CT),CT,Municipal,Final,"1,596.531","10,366.924","12,190","1,257.734","8,636.490","1,619","2,022.348","20,388.212",12,0.000,0.000,0,"4,877","39,392","13,821"
2020,1,19497,United Illuminating Co,CT,Investor Owned,Final,"32,040.283","121,570.389","219,812","7,761.750","39,424.646","15,196",651.603,"3,274.105",239,59.843,465.600,1,"40,513","164,735","235,248"
2020,1,20038,Town of Wallingford - (CT),CT,Municipal,Final,"2,820.136","21,373.182","21,551","2,142.743","18,606.288","3,692","1,031.280","11,705.473",26,0.000,0.000,0,"5,994","51,685","25,269"
2020,1,57313,SolarCity Corporation,CT,Behind the Meter,Final,440.201,"2,370.566","8,456",84.940,768.040,851,0.000,0.000,0,0.000,0.000,0,525,"3,139","9,307"
2020,1,59086,"Constellation Solar Holding, LLC",CT,Behind the Meter,Final,0.000,0.000,0,3.390,28.260,1,0.000,0.000,0,0.000,0.000,0,3,28,1
2020,1,59579,Sunnova,CT,Behind the Meter,Final,638.434,"2,409.868","6,282",0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,638,"2,410","6,282"
2020,1,59580,"SunPower Capital, LLC",CT,Behind the Meter,Final,190.972,623.450,"1,430",0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,191,623,"1,430"
2020,1,59624,"Vivint Solar, Inc.",CT,Behind the Meter,Final,166.915,"1,082.259","3,476",0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,167,"1,082","3,476"
2020,1,59647,Sunrun Inc.,CT,Behind the Meter,Final,641.520,"1,786.441","5,488",0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,642,"1,786","5,488"
2020,1,59943,Spruce Finance,CT,Behind the Meter,Final,12.486,73.554,165,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,12,74,165
2020,1,60025,Greenbacker Renewable Energy Corporation,CT,Behind the Meter,Final,39.035,224.638,596,5.824,33.570,3,0.000,0.000,0,0.000,0.000,0,45,258,599
2020,1,60981,"TerraForm US Energy Services, LLC",CT,Behind the Meter,Final,0.000,0.000,0,7.603,57.394,7,0.000,0.000,0,0.000,0.000,0,8,57,7
2020,1,61098,Longroad Energy,CT,Behind the Meter,Final,0.000,0.000,0,9.698,71.702,8,0.000,0.000,0,0.000,0.000,0,10,72,8
2020,1,61823,"Greenskies Renewable Energy, LLC",CT,Behind the Meter,Final,0.000,0.000,0,133.800,"1,535.000",5,0.000,0.000,0,0.000,0.000,0,134,"1,535",5
2020,1,88888,Total EPM,CT,,Final,"261,145.760","1,166,067.405","1,522,823","162,364.504","976,624.644","154,475","30,623.012","221,656.592","4,172","2,402.676","14,574.028",3,"456,536","2,378,923","1,681,473"
2020,1,0,Adjustment 2020,DC,,Final,"7,372.906","49,259.505","40,655","61,810.454","528,901.769","9,666","1,348.210","16,543.953",1,"2,887.012","31,637.759",3,"73,419","626,343","50,325"
2020,1,15270,Potomac Electric Power Co,DC,Investor Owned,Final,"20,793.306","178,222.447","245,052","12,722.793","101,502.355","16,906",0.000,0.000,0,0.000,0.000,0,"33,516","279,725","261,958"
2020,1,57313,SolarCity Corporation,DC,Behind the Meter,Final,13.767,95.500,506,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,14,96,506
2020,1,59086,"Constellation Solar Holding, LLC",DC,Behind the Meter,Final,0.000,0.000,0,3.890,55.830,2,0.000,0.000,0,0.000,0.000,0,4,56,2
2020,1,59647,Sunrun Inc.,DC,Behind the Meter,Final,1.033,5.570,25,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,1,6,25
2020,1,88888,Total EPM,DC,,Final,"28,181.012","227,583.022","286,238","74,537.137","630,459.954","26,574","1,348.210","16,543.953",1,"2,887.012","31,637.759",3,"106,953","906,225","312,816"
2020,1,0,Adjustment 2020,DE,,Final,"7,280.300","53,415.666","56,336","18,695.653","231,057.049","15,860","7,733.745","150,430.093",736,0.000,0.000,0,"33,710","434,903","72,932"
2020,1,5027,Delmarva Power,DE,Investor Owned,Final,"27,505.319","234,810.875","259,636","7,354.784","69,146.015","24,324",28.346,618.009,59,0.000,0.000,0,"34,888","304,575","284,019"
2020,1,5070,Delaware Electric Cooperative,DE,Cooperative,Final,"13,136.000","113,560.000","90,976","2,326.000","19,947.000","11,094",0.000,0.000,0,0.000,0.000,0,"15,462","133,507","102,070"
2020,1,5335,City of Dover - (DE),DE,Municipal,Final,"2,295.000","18,288.000","20,983","2,028.000","17,541.000","3,462","1,862.000","21,130.000",41,0.000,0.000,0,"6,185","56,959","24,486"
2020,1,13519,City of Newark - (DE),DE,Municipal,Final,"1,160.000","7,872.000","11,185",795.000,"5,888.000","1,414","1,907.000","18,090.000",55,0.000,0.000,0,"3,862","31,850","12,654"
2020,1,57313,SolarCity Corporation,DE,Behind the Meter,Final,348.055,"1,544.692","3,327",1.830,30.920,1,0.000,0.000,0,0.000,0.000,0,350,"1,576","3,328"
