UTILITYID,UTILNAME,STATE,YEAR,MONTH,RES_REV (Thousand $),RES_SALES (MwH),RES_CONS ,COM_REV (Thousand $),COM_SALES (MwH),COM_CONS,IND_REV (Thousand $),IND_SALES (MwH),IND_CONS,OTH_REV (Thousand $),OTH_SALES (MwH),OTH_CONS,TOT_REV (Thousand $),TOT_SALES (MwH),TOT_CONS
19497,United Illuminating Co,CT,2003,1,26195,225481,288391,20381,214388,29774,6327,73691,1602,907,4758,1288,53810,518318,321055
20038,Wallingford Town of,CT,2003,1,1464,23287,20293,1178,19486,3192,808,13204,27,132,2310,183,3582,58287,23695
88888,Total EPM,CT,2003,1,139944,1327684,0,104228,1137266,0,32883,461500,0,,,0,278091,2942865,0
0,State Level Adjustment,DC,2003,1,1633,24576,0,25296,426630,0,-109,-3495,0,,,0,29593,464236,0
15270,Potomac Electric Power Co,DC,2003,1,11347,159116,175875,19873,301414,21304,1073,22193,1,487,9666,32,32780,492389,197212
88888,Total EPM,DC,2003,1,12980,183692,0,45169,728044,0,964,18698,0,,,0,62373,956625,0
0,State Level Adjustment,DE,2003,1,2019,23131,0,2671,25017,0,7520,172587,0,,,0,11540,216095,0
5027,Conectiv,DE,2003,1,22102,292223,248672,17429,272080,29548,6967,133712,287,494,3272,318,46992,701287,278825
5070,Delaware Electric Coop Inc,DE,2003,1,6148,79094,57890,793,11078,5281,53,929,1,71,593,465,7065,91694,63637
5335,Dover City of,DE,2003,1,1532,15841,17562,1449,17937,2826,1246,24821,35,105,775,1,4332,59374,20424
13519,Newark City of,DE,2003,1,689,7724,9603,451,5050,1287,1012,17241,54,,,,2152,30015,10944
88888,Total EPM,DE,2003,1,32490,418013,0,22793,331162,0,16798,349290,0,,,0,72081,1098465,0
0,State Level Adjustment,FL,2003,1,209457,2672810,0,124179,1734859,0,28899,558620,0,,,0,335014,4601378,0
6452,Florida Power & Light Co,FL,2003,1,333595,4129377,3610885,209533,3091350,442344,16137,300093,16258,5469,43909,2829,564734,7564729,4072316
6455,Florida Power Corp,FL,2003,1,147645,1752347,1314997,50079,817889,151478,15369,297101,2572,12497,216510,21303,225590,3083847,1490350
6457,Florida Public Utilities Co,FL,2003,1,2001,33621,22297,1248,23670,4025,297,7810,2,35,408,25,3581,65509,26349
7801,Gulf Power Co,FL,2003,1,37133,505793,334803,16450,266374,49570,6766,149591,285,254,1789,471,60603,923547,385129
18454,Tampa Electric Co,FL,2003,1,64596,726212,526094,32633,432382,65311,11726,211958,1073,9771,109440,6366,118726,1479992,598844
88888,Total EPM,FL,2003,1,794427,9820160,0,434122,6366524,0,79194,1525173,0,,,0,1308248,17719002,0
0,State Level Adjustment,GA,2003,1,161550,2097920,0,62886,805731,0,26942,640399,0,,,0,244582,3468989,0
3916,Cobb Electric Membership Corp,GA,2003,1,15144,162278,151900,5594,66071,11388,625,16799,41,948,10505,5522,22311,255653,168851
7140,Georgia Power Co,GA,2003,1,142097,2200385,1740445,139212,2200577,251686,81196,2105523,8204,4553,51583,3343,367058,6558068,2003678
9601,Jackson Electric Member Corp,GA,2003,1,15543,235303,156835,6027,81795,12057,1719,38457,71,1047,13970,2476,24336,369525,171439
16687,Savannah Electric & Power Co,GA,2003,1,13031,152323,120170,9250,126120,16576,3330,83049,81,950,13946,494,26561,375438,137321
88888,Total EPM,GA,2003,1,347365,4848209,0,222969,3280294,0,113812,2884227,0,,,0,684848,11027673,0
0,State Level Adjustment,HI,2003,1,123,1209,0,1969,17837,0,-100,526,0,,,0,1250,14638,0
8287,Hawaii Electric Light Co Inc,HI,2003,1,7516,34721,56407,6699,32548,10957,3131,19539,63,75,371,104,17421,87179,67531
10071,Kauai Island Utility Cooperative,HI,2003,1,2976,13062,24377,2178,9386,4225,2736,13085,113,86,303,3053,7976,35836,31768
11843,Maui Electric Co Ltd,HI,2003,1,6462,35675,51032,5634,30170,8732,4758,31195,132,81,501,159,16935,97541,60055
19547,Hawaiian Electric Co Inc,HI,2003,1,25431,172349,250384,23633,176810,31777,25948,239222,356,500,3760,1102,75512,592141,283619
88888,Total EPM,HI,2003,1,42508,257016,0,40113,266751,0,36473,303567,0,,,0,119094,827335,0
0,State Level Adjustment,IA,2003,1,32212,417816,0,20228,403727,0,10271,246796,0,,,0,56619,966064,0
471,Amana Society Service Co,IA,2003,1,40,601,692,38,675,168,286,6169,1,5,114,4,369,7559,865
9417,Interstate Power and Light Co,IA,2003,1,29152,389442,399865,16969,279371,68253,20120,580023,1598,668,5759,917,66909,1254595,470633
12341,MidAmerican Energy Co,IA,2003,1,31381,391154,510625,16463,263746,71320,20932,556886,1109,5420,96402,11410,74196,1308188,594464
88888,Total EPM,IA,2003,1,92785,1199013,0,53698,947519,0,51609,1389874,0,,,0,198093,3536406,0
0,State Level Adjustment,ID,2003,1,5289,73990,0,2691,40121,0,883,19976,0,,,0,8209,127179,0
967,Atlanta Power Co Inc,ID,2003,1,3,9,54,1,5,6,,,,,,,4,14,60
9187,Idaho Falls City of,ID,2003,1,2366,35092,20047,1866,25062,3097,242,4329,7,270,3528,23,4744,68011,23174
9191,Idaho Power Co,ID,2003,1,29487,417678,332120,15435,270051,50157,13529,236762,15387,221,2334,356,58672,926825,398020
10454,Kootenai Electric Coop Inc,ID,2003,1,1445,23881,15717,399,6845,1205,41,969,1,9,35,228,1894,31730,17151
11273,Lower Valley Energy Inc,ID,2003,1,138,3412,1125,78,1902,155,18,448,39,2,56,139,236,5818,1458
14354,PacifiCorp,ID,2003,1,2375,74853,46433,1519,30426,6693,4706,152845,5361,14,106,196,8614,258230,58683
16565,Salmon River Electric Coop Inc,ID,2003,1,221,2881,1836,133,2129,429,446,10931,2,3,27,223,803,15968,2490
20169,Avista Corp,ID,2003,1,6451,99732,92182,5480,78924,14907,2605,57886,522,134,821,152,14670,237363,107763
22814,Raft Rural Elec Coop Inc,ID,2003,1,125,2047,1202,63,1363,234,1,7,27,,,,189,3417,1463
88888,Total EPM,ID,2003,1,47900,733575,0,27665,456828,0,22471,484153,0,,,0,98035,1674555,0
0,State Level Adjustment,IL,2003,1,47893,566811,0,83651,1262215,0,75984,1460965,0,,,0,168122,2603852,0
3252,Central Illinois Light Co,IL,2003,1,13161,201982,184629,10123,153004,23308,7757,183500,156,136,2927,2,31177,541413,208095
3253,Central Illinois Pub Serv Co,IL,2003,1,20994,343031,280922,10081,177973,40509,5919,156359,1092,782,10203,1145,37776,687566,323668
4110,Commonwealth Edison Co,IL,2003,1,204858,2676859,3267217,151328,2252056,314085,46601,946085,970,38069,662529,15921,440856,6537529,3598193
9208,Illinois Power Co,IL,2003,1,34682,527310,530729,25358,373191,65274,23998,504005,318,1982,33746,5465,86020,1438252,601786
9417,Interstate Power and Light Co,IL,2003,1,554,9219,10757,261,4274,1934,659,15742,57,28,479,56,1502,29714,12804
12341,MidAmerican Energy Co,IL,2003,1,3498,49011,74418,1896,32014,7811,2318,59410,94,630,13167,1079,8342,153602,83402
13032,Mt Carmel Public Utility Co,IL,2003,1,435,4738,4633,121,1233,849,160,2001,110,212,4580,2,928,12552,5594
17535,South Beloit Wtr Gas & Elec,IL,2003,1,467,7016,7548,226,3779,885,252,6790,46,8,102,12,953,17687,8491
19436,Union Electric Co,IL,2003,1,3122,67779,57546,2928,73775,8979,4400,160421,293,125,1603,88,10575,303578,66906
88888,Total EPM,IL,2003,1,329664,4453756,0,285973,4333514,0,168048,3495278,0,,,0,786251,12325745,0
0,State Level Adjustment,IN,2003,1,63252,916718,0,24836,412686,0,20980,496140,0,,,0,105388,1785804,0
261,AGC Division of APG Inc,IN,2003,1,,,,,,,6769,393370,1,,,,6769,393370,1
9273,Indianapolis Power & Light Co,IN,2003,1,31617,593438,400957,13366,217604,44448,27237,616730,4329,917,7500,659,73137,1435272,450393
9324,Indiana Michigan Power Co,IN,2003,1,35254,558306,395839,20254,378517,47735,22625,569219,4234,694,11606,1683,78827,1517648,449491
13756,Northern Indiana Pub Serv Co,IN,2003,1,28075,308368,385367,24496,308091,48300,34730,760014,2575,1192,12363,799,88493,1388836,437041
15470,PSI Energy Inc,IN,2003,1,55263,919965,647777,30680,605678,87184,34486,926604,3603,775,7119,1683,121204,2459366,740247
17633,Southern Indiana Gas & Elec Co,IN,2003,1,9501,145982,117112,6521,121312,16904,7301,207073,174,182,1956,19,23505,476323,134209
88888,Total EPM,IN,2003,1,222962,3442777,0,120153,2043888,0,154128,3969150,0,,,0,497323,9456619,0
0,State Level Adjustment,KS,2003,1,18115,223446,0,14383,180771,0,9611,213498,0,,,0,40066,596908,0
5860,Empire District Electric Co,KS,2003,1,786,12633,8807,313,4258,1292,327,6430,47,33,600,166,1459,23921,10312
9996,Kansas City City of,KS,2003,1,3106,46137,57894,4280,63425,7149,2917,61209,115,549,6506,246,10852,177277,65404
10000,Kansas City Power & Light Co,KS,2003,1,13648,219484,194559,13145,241425,24138,1509,27928,1071,378,1973,59,28680,490810,219827
10005,Kansas Gas & Electric Co,KS,2003,1,17370,241663,262899,12716,208250,29873,12258,279288,3350,402,3760,0,42746,732961,296122
12524,Midwest Energy Inc,KS,2003,1,1461,17602,22074,1589,18608,11062,1890,27915,2513,77,746,142,5017,64871,35791
12698,Aquila Inc,KS,2003,1,2828,38680,52484,2788,44303,15604,2309,63026,80,169,1873,443,8094,147882,68611
17718,Southwestern Public Service Co,KS,2003,1,49,757,1054,60,912,397,0,0,0,5,77,37,114,1746,1488
22500,Westar Energy Inc,KS,2003,1,16835,265094,303803,16160,324788,46571,7215,165478,1493,430,5272,,40640,760632,351867
88888,Total EPM,KS,2003,1,74198,1065496,0,65434,1086740,0,38036,844772,0,,,0,177668,2997008,0
0,State Level Adjustment,KY,2003,1,58615,939332,0,32428,606693,0,20282,519624,0,,,0,99441,1793868,0
1594,Berea College,KY,2003,1,281,5368,3941,115,1898,660,223,4315,55,8,110,453,627,11691,5109
5748,Electric Energy Inc,KY,2003,1,,,,,,,1534,99696,1,,,,1534,99696,1
9964,Kenergy Corp,KY,2003,1,4539,78138,44923,1252,21556,6007,18669,706967,28,246,3891,803,24706,810552,51761
10171,Kentucky Utilities Co,KY,2003,1,30380,712316,392728,15527,370850,74027,15227,459622,2002,5120,129419,8452,66254,1672207,477209
11249,Louisville Gas & Electric Co,KY,2003,1,18761,361825,334548,14013,284560,40957,8598,244941,410,4417,102378,5741,45789,993704,381656
14724,Pennyrile Rural Electric Coop,KY,2003,1,3704,54525,35024,1406,18004,8934,1241,20874,33,100,1266,177,6451,94669,44168
17564,South Kentucky Rural E C C,KY,2003,1,5135,87932,54116,346,5259,3481,1036,19838,368,78,1331,685,6595,114360,58650
18642,Tennessee Valley Authority,KY,2003,1,,,,,,,32223,1393476,18,128,2712,4,32351,1396188,22
19446,"Union Light, Heat & Power Co",KY,2003,1,8913,148701,114174,6497,112630,12562,2827,57409,395,1480,27368,1358,19717,346108,128489
20130,Warren Rural Elec Coop Corp,KY,2003,1,5216,80656,45528,1649,22352,7738,1959,35382,43,174,1470,475,8998,139860,53784
22053,Kentucky Power Co,KY,2003,1,16984,352134,144903,6769,131070,26893,8192,270068,1470,132,1836,451,32077,755108,173717
88888,Total EPM,KY,2003,1,152528,2820927,0,80002,1574872,0,112011,3832212,0,,,0,344540,8228011,0
0,State Level Adjustment,LA,2003,1,37185,624812,0,27850,428352,0,5419,95520,0,,,0,57456,953763,0
3265,Cleco Power LLC,LA,2003,1,20385,301367,217617,9670,138629,31168,11348,236034,722,3190,45399,6248,44593,721429,255755
7806,Entergy Gulf States Inc,LA,2003,1,28071,378480,291977,23483,356046,42474,29977,703394,3613,1508,19713,1518,83039,1457633,339582
11241,Entergy Louisiana Inc,LA,2003,1,52692,743275,568644,32501,437575,70522,60515,1325471,7100,3256,45738,5552,148964,2552059,651818
13478,Entergy New Orleans Inc,LA,2003,1,11229,152418,170599,11662,176376,16443,1898,30770,1159,4886,81049,1630,29675,440613,189831
17698,Southwestern Electric Power Co,LA,2003,1,9845,187032,147407,7908,172271,17168,2761,71594,1949,174,3256,101,20688,434153,166625
88888,Total EPM,LA,2003,1,159407,2387384,0,113074,1709249,0,111918,2462783,0,,,0,384415,6559650,0
0,State Level Adjustment,MA,2003,1,25539,261531,0,62805,792216,0,37046,455059,0,,,0,122376,1508341,0
1998,Boston Edison Co,MA,2003,1,50155,418026,578745,48367,543803,88256,4895,62048,1475,1302,10995,6916,104719,1034872,675392
2886,Cambridge Electric Light Co,MA,2003,1,2022,18149,39596,7808,101445,7325,144,2529,48,139,833,337,10113,122956,47306
4089,Commonwealth Electric Co,MA,2003,1,22016,170647,256283,11166,103149,34728,1351,11435,157,152,1065,871,34685,286296,292039
6374,Fitchburg Gas & Elec Light Co,MA,2003,1,2154,16977,23515,1251,10694,3094,1004,10328,35,125,807,3,4534,38806,26647
8774,Holyoke City of,MA,2003,1,1042,9865,14200,1382,13121,2062,434,6431,116,267,2627,571,3125,32044,16949
11804,Massachusetts Electric Co,MA,2003,1,78956,837464,1054074,52579,605417,126701,15024,190016,4621,1238,6873,851,147797,1639770,1186247
13206,Nantucket Electric Co,MA,2003,1,977,8760,9920,415,3359,1255,,,,7,34,3,1399,12153,11178
15748,Reading Town of,MA,2003,1,2411,21672,24167,,,,2941,33994,2657,320,3298,454,5672,58964,27278
20455,Western Massachusetts Elec Co,MA,2003,1,17198,164301,176802,9720,105185,15961,4718,60526,771,400,2614,598,32036,332626,194132
88888,Total EPM,MA,2003,1,202470,1927392,0,195493,2278389,0,67557,832366,0,,,0,466456,5066828,0
0,State Level Adjustment,MD,2003,1,20390,339055,0,27518,499671,0,41686,514519,0,,,0,87169,1362643,0
1167,Baltimore Gas & Electric Co,MD,2003,1,98184,1306625,1053861,22461,296785,106285,45995,749,8787,3308,28833,432,169948,1632992,1169365
5027,Conectiv,MD,2003,1,17680,234118,161806,9145,121729,23235,1719,29110,258,114,672,264,28658,385629,185563
15263,The Potomac Edison Co,MD,2003,1,24571,366996,199351,10410,174223,24641,14619,376034,2701,294,1282,340,49894,918535,227033
15270,Potomac Electric Power Co,MD,2003,1,34766,591237,391331,19410,401293,33776,,,,513,7652,110,54689,1000182,425217
88888,Total EPM,MD,2003,1,195591,2838031,0,88944,1493701,0,104019,920412,0,,,0,390358,5299981,0
0,State Level Adjustment,ME,2003,1,53226,444340,0,39581,511024,0,19207,283823,0,,,0,112010,1239146,0
3266,Central Maine Power Co,ME,2003,1,1,8,26,2,15,5,,,,,,1,3,23,32
5609,Eastern Maine Electric Coop,ME,2003,1,,,,,,,17,114,1,,,,17,114,1
11477,Town of Madison (ME),ME,2003,1,158,1664,2116,49,530,322,1547,22991,19,4,41,84,1758,25226,2541
88888,Total EPM,ME,2003,1,53385,446012,0,39632,511569,0,20771,306928,0,,,0,113788,1264509,0
0,State Level Adjustment,MI,2003,1,24698,346190,0,25617,371889,0,42632,859470,0,,,0,85777,1507390,0
392,Alpena Power Co,MI,2003,1,714,8640,13739,683,9480,3654,323,7962,5,,,,1720,26082,17398
4254,Consumers Energy Co,MI,2003,1,100523,1277679,1527567,67781,954914,196362,43201,789089,8899,2235,24256,1915,213740,3045938,1734743
5109,Detroit Edison Co,MI,2003,1,128616,1428190,1951355,111471,1478834,182997,52953,1051459,1003,4043,37909,1980,297083,3996392,2137335
5659,Edison Sault Electric Co,MI,2003,1,1184,19251,18442,1410,21439,3681,635,16044,4,22,204,38,3251,56938,22165
9324,Indiana Michigan Power Co,MI,2003,1,7683,136632,106335,4089,67074,15422,3719,81881,1136,197,2056,335,15688,287643,123228
10704,Lansing City of,MI,2003,1,3956,57347,82875,5842,100007,13125,2533,52237,328,528,4735,2036,12859,214326,98364
13780,Northern States Power Co,MI,2003,1,449,6263,7741,221,3389,1196,207,4472,31,18,185,54,895,14309,9022
19578,Upper Peninsula Power Co,MI,2003,1,3503,31661,45312,2288,20838,5496,923,16480,12,108,867,387,6822,69846,51207
20847,Wisconsin Electric Power Co,MI,2003,1,2221,17322,23827,1372,11395,2889,7912,219149,13,35,196,64,11540,248062,26793
20860,Wisconsin Public Service Corp,MI,2003,1,434,7148,7964,276,4701,925,469,15307,8,7,84,27,1186,27240,8924
88888,Total EPM,MI,2003,1,273981,3336323,0,221050,3043960,0,155507,3113550,0,,,0,650561,9494166,0
0,State Level Adjustment,MN,2003,1,48090,694748,0,20708,350126,0,14746,336126,0,,,0,80505,1343911,0
689,Anoka Electric Coop,MN,2003,1,8040,102302,98446,1920,42481,6620,443,8943,309,87,791,272,10490,154517,105647
5574,East Central Energy,MN,2003,1,3605,46553,43452,1077,16829,3316,330,7604,18,20,159,70,5032,71145,46856
9417,Interstate Power and Light Co,MN,2003,1,2516,31697,35930,801,12432,6565,1271,25563,246,161,2479,344,4749,72171,43085
12647,"ALLETE, Inc.",MN,2003,1,6570,97932,112900,5248,92327,19488,20831,565996,480,362,5838,685,33011,762093,133553
13781,Northern States Power Co,MN,2003,1,58575,805099,1032182,55111,1043221,119271,31999,855354,604,1975,23012,5125,147660,2726686,1157182
13815,Northwestern Wisconsin Elec Co,MN,2003,1,3,32,52,1,8,14,0,0,0,0,0,0,4,40,66
