UTILITYID,UTILNAME,STATE,YEAR,MONTH,RES_REV (Thousand $),RES_SALES (MwH),RES_CONS ,COM_REV (Thousand $),COM_SALES (MwH),COM_CONS,IND_REV (Thousand $),IND_SALES (MwH),IND_CONS,OTH_REV (Thousand $),OTH_SALES (MwH),OTH_CONS,TOT_REV (Thousand $),TOT_SALES (MwH),TOT_CONS
0,State Level Adjustment,AK,2003,1,4183,21492,0,6036,38233,0,1146,8802,0,,,0,10431,58060,0
213,Alaska Electric Light&Power Co,AK,2003,1,1408,14357,13016,365,4171,1405,375,5071,100,508,7402,682,2656,31001,15203
219,Alaska Power Co,AK,2003,1,452,2128,4196,611,2953,1817,,,,,,,1063,5081,6013
599,Anchorage Municipal Light and Power,AK,2003,1,1558,16145,23605,5325,71887,6016,,,,124,1409,4231,7007,89441,33852
653,Andreanof Electric Corp,AK,2003,1,6,10,27,2,4,4,,,,4,9,3,12,23,34
1651,Bethel Utilities Corp,AK,2003,1,312,1138,1532,650,2828,938,,,,,,,962,3966,2470
3465,Chitina Electric Inc,AK,2003,1,4,11,32,7,23,24,,,,0,1,1,11,35,57
3522,Chugach Electric Assn Inc,AK,2003,1,5963,57968,65296,4199,51488,8125,204,2814,6,107,599,65,10473,112869,73492
4959,Aniak Light & Power Co Inc,AK,2003,1,44,92,175,48,111,42,,,,,,,92,203,217
5553,Egegik Light & Power Co,AK,2003,1,5,9,42,18,33,40,,,,,,,23,42,82
6111,Central Electric Inc,AK,2003,1,11,20,121,3,7,10,,,,9,17,8,23,44,139
7353,Golden Valley Elec Assn Inc,AK,2003,1,3448,35294,32695,1277,14192,5547,4031,58760,393,,,,8756,108246,38635
7822,Gustavus Electric Inc,AK,2003,1,41,74,357,12,26,81,,,,13,26,29,66,126,467
7833,Gwitchyaa Zhee Utility Co,AK,2003,1,29,87,247,23,71,64,7,22,6,11,31,17,70,211,334
9000,Hughes Power and Light Co,AK,2003,1,3,5,29,6,11,9,,,,2,3,4,11,19,42
9832,Kuiggluum Kallugvia,AK,2003,1,28,62,158,10,21,5,,,,5,42,24,43,125,187
10210,Ketchikan Public Utilities,AK,2003,1,528,5649,5601,482,5476,1028,92,1486,13,29,341,496,1131,12952,7138
10433,Kodiak Electric Assn Inc,AK,2003,1,522,3145,4479,297,1905,957,902,5962,90,18,74,121,1739,11086,5647
10451,Kotzebue Electric Assn Inc,AK,2003,1,189,808,1040,225,1045,109,,,,37,169,28,451,2022,1177
11591,Manley Utility Co,AK,2003,1,12,17,69,9,13,14,,,,,,,21,30,83
11824,Matanuska Electric Assn Inc,AK,2003,1,3974,41026,40300,1344,17011,2934,,,,11,62,27,5329,58099,43261
12119,McGrath Light and Power Co,AK,2003,1,32,86,183,31,91,45,,,,28,81,22,91,258,250
13211,Napakiak Ircinraq Power Co,AK,2003,1,22,38,102,6,9,8,,,,3,8,14,31,55,124
18474,Tanana Power Co Inc,AK,2003,1,27,49,157,34,72,16,,,,1,2,1,62,123,174
19277,TDX North Slope Generating Co,AK,2003,1,,,,336,1952,56,,,,,,,336,1952,56
19558,Homer Electric Assn Inc,AK,2003,1,1880,16886,21266,1457,15001,3282,516,12613,26,20,175,86,3873,44675,24660
26754,Paxson Inn and Lodge,AK,2003,1,,,1,3,11,6,,,,,,,3,11,7
29297,Pelican Utility Inc,AK,2003,1,5,34,78,2,13,13,8,62,22,4,17,59,19,126,172
88888,Total EPM,AK,2003,1,24686,216630,0,22818,228658,0,7281,95592,0,,,0,54785,540881,0
0,State Level Adjustment,AL,2003,1,66147,908906,0,26445,358587,0,17927,362780,0,,,0,108622,1608300,0
195,Alabama Power Co,AL,2003,1,120358,1758560,1151556,75398,1106044,200828,61041,1498298,4880,1411,17362,720,258208,4380264,1357984
4958,Decatur Utilities,AL,2003,1,2016,36366,22479,1422,22955,3597,2497,60558,19,71,644,90,6006,120523,26185
6422,Florence City of,AL,2003,1,4108,64059,37542,2134,32419,7825,623,11218,13,78,572,40,6943,108268,45420
9094,Huntsville City of,AL,2003,1,13834,228511,120106,7152,122803,18497,4215,86474,98,246,2464,134,25447,440252,138835
9739,Joe Wheeler Elec Member Corp,AL,2003,1,4311,60769,32713,1486,18065,7618,1369,26790,17,91,931,119,7257,106555,40467
17252,Singing River Elec Pwr Assn,AL,2003,1,26,395,234,3,36,16,0,0,0,0,0,0,29,431,250
18642,Tennessee Valley Authority,AL,2003,1,,,,,,,16693,515770,22,,,,16693,515770,22
88888,Total EPM,AL,2003,1,210800,3057566,0,114040,1660909,0,104365,2561888,0,,,0,429205,7280363,0
0,State Level Adjustment,AR,2003,1,22987,373030,0,11330,199297,0,19384,536469,0,,,0,51436,1070466,0
814,Entergy Arkansas Inc,AR,2003,1,44994,668361,548909,21666,416543,80010,23216,549013,20119,1183,21835,530,91059,1655752,649568
817,Arkansas Valley Elec Coop Corp,AR,2003,1,4086,61447,44165,421,7015,2413,582,18435,13,88,1318,593,5177,88215,47184
3093,Carroll Electric Coop Corp,AR,2003,1,5495,85167,55987,962,17455,4021,654,17497,9,20,258,56,7131,120377,60073
5860,Empire District Electric Co,AR,2003,1,248,3600,3152,141,2355,640,225,5180,9,18,276,83,632,11411,3884
6342,First Electric Coop Corp,AR,2003,1,6874,96062,66810,836,14452,3401,609,21014,2,249,2108,827,8568,133636,71040
14063,Oklahoma Gas & Electric Co,AR,2003,1,3432,65613,51323,2093,51424,8212,1768,65784,416,579,11531,1175,7872,194352,61126
17698,Southwestern Electric Power Co,AR,2003,1,4862,91071,87879,4281,118064,15484,3681,109847,858,128,1005,166,12952,319987,104387
88888,Total EPM,AR,2003,1,92978,1444351,0,41730,826605,0,50119,1323239,0,,,0,184827,3594196,0
0,State Level Adjustment,AZ,2003,1,4349,52288,0,11258,218016,0,2955,64505,0,,,0,12520,247051,0
176,Ajo Improvement Co,AZ,2003,1,44,328,855,33,384,122,14,124,1,13,104,53,104,940,1031
803,Arizona Public Service Co,AZ,2003,1,63014,821556,827029,52634,740378,97151,8558,163273,3689,859,7353,992,125065,1732560,928861
3611,Citzens Communications Co,AZ,2003,1,4414,52649,66288,2556,29805,8646,869,13255,60,776,8813,3227,8615,104522,78221
12919,Morenci Water and Electric Co,AZ,2003,1,84,861,1629,103,999,247,6254,134357,1,,,,6441,136217,1877
16572,Salt River Project,AZ,2003,1,47717,798833,723945,33395,616556,63901,8554,240011,44,4141,67807,10246,93807,1723207,798136
19189,Trico Electric Cooperative Inc,AZ,2003,1,1973,21032,26434,788,7937,1251,289,4508,10,10,67,45,3060,33544,27740
21538,"MoHave Electric Coop, Inc",AZ,2003,1,2039,19853,28523,1140,13618,3350,263,5129,3,26,257,35,3468,38857,31911
24211,Tucson Electric Power Co,AZ,2003,1,17946,236574,327609,10434,120097,31807,13903,200878,693,217,3358,61,42500,560907,360170
88888,Total EPM,AZ,2003,1,141580,2003974,0,112341,1747790,0,41659,826040,0,,,0,295580,4577805,0
0,State Level Adjustment,CA,2003,1,48990,472556,0,157987,1624897,0,124905,1658909,0,,,0,314945,3634323,0
9216,Imperial Irrigation District,CA,2003,1,7354,74627,92342,9568,104550,14307,961,9204,1591,645,6643,1826,18528,195024,110066
11208,Los Angeles City of,CA,2003,1,58641,580039,1223604,102607,1030624,179279,16327,191607,15097,3437,42287,1964,181012,1844557,1419944
12745,Modesto Irrigation District,CA,2003,1,6255,73917,86798,3678,50716,12134,2255,48499,220,600,9521,1264,12788,182653,100416
14328,Pacific Gas & Electric Co,CA,2003,1,375290,2885581,4419518,305688,2439225,572211,75472,730762,1029,6673,39376,26791,763123,6094944,5019549
14354,PacifiCorp,CA,2003,1,3164,40322,33519,2034,24510,7220,323,5516,1954,26,202,135,5547,70550,42828
16534,Sacramento Municipal Util Dist,CA,2003,1,39072,402903,480632,5078,50414,47567,27797,332728,11444,506,6696,2273,72453,792741,541916
16609,San Diego Gas & Electric Co,CA,2003,1,85390,604181,1131447,60879,474609,134028,14904,148437,446,726,5872,1808,161899,1233099,1267729
17166,Sierra Pacific Power Co,CA,2003,1,3131,29492,35776,1623,13802,4523,987,13438,44,8,36,25,5749,56768,40368
17609,Southern California Edison Co,CA,2003,1,328597,2283122,3953688,351029,2722389,490898,67549,666747,41611,7334,66810,11318,754509,5739068,4497515
17612,Southern California Water Co,CA,2003,1,1348,7113,22065,887,4275,1622,246,1450,4,8,18,4,2489,12856,23695
18260,Surprise Valley Electrification Corp,CA,2003,1,231,3314,2599,54,735,763,23,301,716,1,3,4,309,4353,4082
19281,Turlock Irrigation District,CA,2003,1,4163,49368,56817,698,8205,5507,2864,52062,2233,582,8802,12688,8307,118437,77245
19840,"Valley Electric Assn, Inc",CA,2003,1,1,10,9,,,,2,38,8,,,,3,48,17
88888,Total EPM,CA,2003,1,961627,7506545,0,1001810,8548951,0,334615,3859698,0,,,0,2301661,19979421,0
0,State Level Adjustment,CO,2003,1,18405,258798,0,16648,253879,0,12663,275293,0,,,0,42762,718904,0
3989,Colorado Springs City of,CO,2003,1,8649,127608,167199,6813,116763,21798,4551,97050,220,1606,37603,582,21619,379024,189799
6604,Fort Collins City of,CO,2003,1,2514,42353,51235,1943,36977,6198,1310,34205,16,3,76,1,5770,113611,57450
9336,Intermountain Rural Elec Assn,CO,2003,1,9115,115230,103864,2880,42047,8489,372,6702,30,60,548,263,12427,164527,112646
10066,K C Electric Association,CO,2003,1,295,3547,3257,353,4752,2327,20,313,684,,,,668,8612,6268
12698,Aquila Inc,CO,2003,1,3645,50683,76477,2661,48594,10486,1633,37232,110,249,3464,439,8188,139973,87512
12866,Moon Lake Electric Assn Inc,CO,2003,1,90,1443,1430,725,12062,1010,1535,27163,7,4,23,67,2354,40691,2514
15257,"Poudre Valley R  E  A, Inc",CO,2003,1,2227,31606,27695,965,12105,3127,1006,23551,2,12,157,111,4210,67419,30935
15466,Public Service Co of Colorado,CO,2003,1,54546,690767,1059729,57463,969037,139899,17173,378502,271,3168,27657,68621,132350,2065963,1268520
16603,"San Luis Valley R E C, Inc",CO,2003,1,639,6967,8009,262,3335,870,13,250,1,7,94,2481,921,10646,11361
19499,"United Power, Inc",CO,2003,1,2440,33762,35477,1621,26592,6859,302,7526,707,25,2325,145,4388,70205,43188
88888,Total EPM,CO,2003,1,102565,1362764,0,92334,1526143,0,40578,887787,0,,,0,235657,3779575,0
0,State Level Adjustment,CT,2003,1,4309,39906,0,5896,52847,0,1705,35528,0,,,0,9738,113279,0
4176,Connecticut Light & Power Co,CT,2003,1,106877,1027127,961293,75913,840102,98731,22283,311649,3913,2079,23577,1647,207152,2202455,1065584
7716,Groton Dept of Utilities,CT,2003,1,1099,11883,9886,860,10443,1141,1760,27428,3,90,772,340,3809,50526,11370
