UTILITY_ID,UTILNAME,STATE_CODE,YEAR,MONTH,RES_REV (Thousand $),RES_SALES (MWh),RES_CONS ,COM_REV (Thousand $),COM_SALES (MWh),COM_CONS,IND_REV (Thousand $),IND_SALES (MWh),IND_CONS,TRA_REV (Thousand $),TRA_SALES (MWh),TRA_CONS,TOT_REV (Thousand $),TOT_SALES (MWh),TOT_CONS
25866,Ak-Chin Electric Utility Auth,AZ,2010,1,20.408,241,282,116.643,1466,82,1.423,15,21,0,0,0,138.474,1722,385
88888,Total EPM,AZ,2010,1,234280,2447284,2558601,175481,2080458,300105,52694,886278,7088,0,0,0,462455,5414020,2865794
0,Adjustment 2010,CA,2010,1,12499.137,388784.044,674030,104871.813,1533133.038,121656,92762.683,1325519.853,6167,2062.981,28060.947,-572,212196.614,3275497.882,801281
4390,City of Corona,CA,2010,1,33.88,208.961,348,426.732,3672.904,347,218.722,2002.054,8,0,0,0,679.334,5883.919,703
9216,Imperial Irrigation District,CA,2010,1,12319,92902,125057,14065,111028,20039,701,3906,838,0,0,0,27085,207836,145934
11208,Los Angeles Department of Water & Power,CA,2010,1,76623.368,635068.338,1249983,126659.444,1123942.39,180556,18858.473,176838.418,12516,1307.289,11955.396,314,223448.574,1947804.542,1443369
12745,Modesto Irrigation District,CA,2010,1,11276.941,82243.379,92812,7235.162,64934.187,19024,4099.657,51582.346,181,0,0,0,22611.76,198759.912,112017
14328,Pacific Gas & Electric Co,CA,2010,1,438038.384,2711217.708,4211948,306943.082,2484153.674,589733,70034.534,782286.618,942,0,0,0,815016,5977658,4802623
14354,PacifiCorp,CA,2010,1,4767.545,43008.522,35483,3031.579,29592.431,7766,264.585,3117.227,1942,0,0,0,8063.709,75718.18,45191
14534,City of Pasadena,CA,2010,1,4160.077,29299.205,53606,8560.417,65629.014,8263,0,0,0,88.377,631.525,1,12808.871,95559.744,61870
16534,Sacramento Municipal Util Dist,CA,2010,1,50058,444489,527555,6721,57420,54876,35121,366759,13020,343,3751,197,92243,872419,595648
16609,San Diego Gas & Electric Co,CA,2010,1,128002.561,705154.514,1225838,84051.259,547201.746,148580,23436.383,181143.308,509,709.049,8260,4,236199.252,1441759.568,1374931
16612,San Francisco City & County of,CA,2010,1,0,0,0,5593.16,71530.2,1959,37.4,632.21,1,354,9433.6,1,5984.56,81596.01,1961
17166,Sierra Pacific Power Co,CA,2010,1,4481,32879,40049,1859,14963,5194,1519,15024,55,0,0,0,7859,62866,45298
17609,Southern California Edison Co,CA,2010,1,405451,2393908,4257952,342743,2886127,575750,55762,563481,34215,578,5614,67,804534,5849130,4867984
17612,Bear Valley Electric Service,CA,2010,1,2199.896,8740.907,21797,1146.091,4187.994,1430,374.754,1769.332,8,0,0,0,3720.741,14698.233,23235
18260,Surprise Valley Electrificatio,CA,2010,1,287.6,4344.144,2820,66.988,968.838,846,21.551,231.847,771,0,0,0,376.139,5544.829,4437
19281,Turlock Irrigation District,CA,2010,1,7858,57191,71450,2378,22311,23996,5966,63577,3437,0,0,0,16202,143079,98883
19840,"Valley Electric Assn, Inc",CA,2010,1,1.722,13.835,12,0.122,0.577,2,0.178,1.938,28,0,0,0,2.022,16.35,42
27000,Western Area Power Admn.,CA,2010,1,.,.,.,.,.,.,.,.,.,13.319,214,1,13.319,214,1
88888,Total EPM,CA,2010,1,1158058,7629453,12590740,1016352,9020796,1760017,309178,3537872,74638,5456,67920,13,2489044,20256041,14425408
0,Adjustment 2010,CO,2010,1,34703.291,337176.678,415191,14913.397,162632.48,68517,27538.398,400341.217,8947,0,0,0,77155.086,900150.375,492655
3989,Colorado Springs City of,CO,2010,1,13581.935,141856.633,185427,11300.16,171600.951,24493,4054.583,74833.608,289,0,0,0,28936.678,388291.192,210209
6604,Fort Collins City of,CO,2010,1,3928.423,54410.713,56883,2660.855,43283.411,7508,1580.026,35650.13,15,0,0,0,8169.304,133344.254,64406
9336,Intermountain Rural Elec Assn,CO,2010,1,16155,136954,127089,4846,43960,11390,1153,12984,73,0,0,0,22154,193898,138552
10066,K C Electric Association,CO,2010,1,470.536,4043.901,3208,581.747,5045.517,2278,7.811,72.553,717,0,0,0,1060.094,9161.971,6203
12866,Moon Lake Electric Assn Inc,CO,2010,1,127,2221,1538,207,2970,708,2498,41477,11,0,0,0,2832,46668,2257
15257,"Poudre Valley R  E  A, Inc",CO,2010,1,4019,39958,31371,538,5072,3600,3782,47970,982,0,0,0,8339,93000,35953
15466,Public Service Co of Colorado,CO,2010,1,87970,861007,1152270,86921,1075652,209224,29505,484077,299,358,4155,1,204754,2424891,1361794
16603,"San Luis Valley R E C, Inc",CO,2010,1,1130,8616,8636,417,3526,934,34,460,2631,0,0,0,1581,12602,12201
19499,"United Power, Inc",CO,2010,1,6887.261,61014.403,57429,3889.604,40130.82,8391,1271.646,15701.04,655,0,0,0,12048.511,116846.263,66475
27058,"High West Energy, Inc",CO,2010,1,76,739,609,29,286,19,110,574,181,0,0,0,215,1599,809
56146,Black Hills/Colorado Elec.Util,CO,2010,1,7149.702,63950.45,81615,5952.299,62067.61,11591,2417.865,31321.39,90,0,0,0,15519.866,157339.45,93296
88888,Total EPM,CO,2010,1,176198,1711948,2121266,132256,1616227,348653,73952,1145462,14890,358,4155,1,382765,4477792,2484810
0,Adjustment 2010,CT,2010,1,48422.465,263480.703,261544,143002.646,875358.605,54112,36628.444,232274.5,1945,1711.713,14653.43,2,229765.268,1385767.238,317603
4176,Connecticut Light & Power Co,CT,2010,1,168213.361,889175.936,931047,39098.214,225134.457,88217,4220.14,26350.173,2974,0,0,0,211531.715,1140660.566,1022238
7716,Groton Dept of Utilities,CT,2010,1,1960.71,12559.368,11100,1527.711,10529.274,1551,2435.464,19689.8,15,0,0,0,5923.885,42778.442,12666
19497,United Illuminating Co,CT,2010,1,37179,164413,231312,9965,55783,17733,724,4290,498,0,0,0,47868,224486,249543
20038,Wallingford Town of,CT,2010,1,3038.297,23164.711,20936,2672.112,20398.384,3675,1187.006,10750.23,23,0,0,0,6897.415,54313.325,24634
88888,Total EPM,CT,2010,1,258814,1352794,1455939,196266,1187204,165288,45195,293355,5455,1712,14653,2,501986,2848006,1626684
0,Adjustment 2010,DC,2010,1,808.55,5710.791,6782,77663.914,603029.75,7187,1685.724,19777.706,1,2806.16,24979.414,1,82964.348,653497.661,13971
15270,Potomac Electric Power Co,DC,2010,1,27969.446,210776.221,220218,18358.81,123966.17,19239,0,0,0,0,0,0,46328.256,334742.391,239457
88888,Total EPM,DC,2010,1,28778,216487,227000,96023,726996,26426,1686,19778,1,2806,24979,1,129293,988240,253428
0,Adjustment 2010,DE,2010,1,5281.004,39604.617,31074,22788.389,227770.707,9071,13315.59,144521.836,1015,0,0,0,41384.983,411897.16,41160
5027,Delmarva Power,DE,2010,1,43383.333,328153.337,260559,13851.942,103235.25,27731,1508.832,21657.571,138,0,0,0,58744.107,453046.158,288428
5070,Delaware Electric Cooperative,DE,2010,1,11615,113188,73274,1876,18832,8097,0,0,0,0,0,0,13491,132020,81371
5335,Dover City of,DE,2010,1,2837,19313,19757,3023,19326,3327,2482,21523,41,0,0,0,8342,60162,23125
13519,Newark City of,DE,2010,1,1215,8257,10370,761,5516,1369,2180,18523,52,0,0,0,4156,32296,11791
88888,Total EPM,DE,2010,1,64331,508516,395034,42300,374680,49595,19486,206225,1246,0,0,0,126118,1089421,445875
0,Adjustment 2010,FL,2010,1,278104.18,2505060.701,1690135,122645.255,1172518.073,242568,29282.963,332936.384,4327,0.698,29.43,0,430033.096,4010544.588,1937030
6452,Florida Power & Light Co,FL,2010,1,309094,5214678,3986002,162027,3627830,507059,6586,267624,9041,276,6842,23,477983,9116974,4502125
6455,Progress Energy Florida Inc,FL,2010,1,258824,1898161,1436475,121081,1164298,185005,22870,246057,2450,0,0,0,402775,3308516,1623930
6457,Florida Public Utilities Co,FL,2010,1,5293,35582,23500,3613,25982,4691,564,6030,2,0,0,0,9470,67594,28193
7801,Gulf Power Co,FL,2010,1,68921,560087,374869,31986,283260,53828,11953,125636,280,0,0,0,112860,968983,428977
9617,JEA,FL,2010,1,65777.458,579255.707,368431,36105.841,350627.135,49493,18682.536,221622.968,225,27.656,297.165,1,120593.491,1151802.975,418150
18454,Tampa Electric Co,FL,2010,1,100584.172,838171.005,589355,69255.517,642769.889,77689,14910.466,158977.312,1426,6.513,53.2,1,184756.668,1639971.406,668471
88888,Total EPM,FL,2010,1,1086598,11630995,8468767,546714,7267285,1120333,104849,1358884,17751,311,7222,25,1738471,20264386,9606876
0,Adjustment 2010,GA,2010,1,242267.938,2677928.207,1608907,77202.656,852240.152,197891,31468.99,549514.908,6785,-0.001,0.004,0,350939.583,4079683.271,1813583
3408,Chattanooga City of,GA,2010,1,1695,21301,9575,421,4645,1157,38,392,1,0,0,0,2154,26338,10733
3916,Cobb Electric Membership Corp,GA,2010,1,23941,235551,174299,9422,94606,20463,1495,21329,61,0,0,0,34858,351486,194823
7140,Georgia Power Co,GA,2010,1,277907.22,3110237.096,2048054,255213.425,2902121.779,301995,114076.596,1795262.804,8193,1208.966,17435.662,1,648406.207,7825057.341,2358243
9601,Jackson Electric Member Corp,GA,2010,1,26333,351312,185014,10997,123771,19743,2732,47021,97,0,0,0,40062,522104,204854
88888,Total EPM,GA,2010,1,572144,6396329,4025849,353256,3977384,541249,149811,2413520,15137,1209,17436,1,1076420,12804669,4582236
0,Adjustment 2010,HI,2010,1,0.614,5.133,8,3.643,264.027,8,0.08,-254.114,0,0,0,0,4.337,15.046,16
8287,Hawaii Electric Light Co Inc,HI,2010,1,13866,39067,66893,12512,36239,12870,5717,19221,69,0,0,0,32095,94527,79832
10071,Kauai Island Utility Cooperative,HI,2010,1,5021.062,14231.774,27674,3405.452,9463.435,4584,4590.648,13786.43,134,0,0,0,13017.162,37481.639,32392
11843,Maui Electric Co Ltd,HI,2010,1,10964.4,37823,57217,9044.9,30416.7,9896,8317.8,31897,143,0,0,0,28327.1,100136.7,67256
19547,Hawaiian Electric Co Inc,HI,2010,1,40424.509,172008.955,261736,41533.6,192736.169,33345,42946.203,237585.057,340,0,0,0,124904.312,602330.181,295421
88888,Total EPM,HI,2010,1,70277,263136,413528,66500,269119,60703,61572,302235,686,0,0,0,198348,834491,474917
0,Adjustment 2010,IA,2010,1,52578.162,561462.065,369608,20858.175,271279.05,56210,17140.957,292210.913,1985,0,0,0,90577.294,1124952.028,427803
471,Amana Society Service Co,IA,2010,1,75,625,710,78,679,180,415,4804,1,0,0,0,568,6108,891
9417,Interstate Power and Light Co,IA,2010,1,45055,448946,407791,25683,332462,73067,26960,518652,2678,0,0,0,97698,1300060,483536
12341,MidAmerican Energy Co,IA,2010,1,47406.924,646488.65,547296,24987.789,420125.93,87696,23218.226,602314.28,1357,0,0,0,95612.939,1668928.86,636349
88888,Total EPM,IA,2010,1,145115,1657522,1325405,71607,1024546,217153,67734,1417981,6021,0,0,0,284456,4100049,1548579
0,Adjustment 2010,ID,2010,1,7273.627,97935.131,60338,2263.907,38466.952,8150,1201.308,29866.15,1483,0,0,0,10738.842,166268.233,69971
9187,Idaho Falls City of,ID,2010,1,2496,41412,22215,1595,27014,3648,387,8181,7,0,0,0,4478,76607,25870
9191,Idaho Power Co,ID,2010,1,41082.183,517651.843,393276,19254.928,316554.922,60915,11673.596,247814.636,17107,0,0,0,72010.707,1082021.401,471298
10454,Kootenai Electric Cooperative,ID,2010,1,2638.789,34931.285,20689,668.919,8841.224,1989,90.693,2036.49,48,0,0,0,3398.401,45808.999,22726
11273,Lower Valley Energy Inc,ID,2010,1,100,1876,1289,12,212,311,170,4571,44,0,0,0,282,6659,1644
12692,"Missoula Electric Coop, Inc",ID,2010,1,4.86,52.735,34,9.424,123.039,23,0,0,0,0,0,0,14.284,175.774,57
14354,PacifiCorp,ID,2010,1,6318.277,85458.911,56724,2483.561,37418.317,8420,7081.439,148179.723,5518,0,0,0,15883.277,271056.951,70662
16565,Salmon River Electric Coop Inc,ID,2010,1,253,3447,2102,119,1887,422,658,18620,2,0,0,0,1030,23954,2526
20169,Avista Corp,ID,2010,1,10946.038,130203.021,105291,7465.535,88178.965,16718,5365.773,103254.655,478,0,0,0,23777.346,321636.641,122487
22814,Raft Rural Elec Coop Inc,ID,2010,1,173,2596,1243,148,3027,296,3,54,882,0,0,0,324,5677,2421
88888,Total EPM,ID,2010,1,71286,915564,663201,34020,521723,100892,26631,562578,25569,0,0,0,131937,1999865,789662
0,Adjustment 2010,IL,2010,1,66580.549,674058.098,506375,225843.824,2672511.132,128704,243258.881,3453729.244,5144,4272.322,64154.441,2,539955.576,6864452.915,640225
3252,Central Illinois Light Co,IL,2010,1,19953,241598,189254,6177,72816,20327,571,13026,68,0,0,0,26701,327440,209649
3253,Central Illinois Pub Serv Co,IL,2010,1,40016,478805,326461,17656,209431,45678,1241,21145,416,84,1398,1,58997,710779,372556
4110,Commonwealth Edison Co,IL,2010,1,285580.014,2715306.413,3432209,112923.937,1217652.444,314152,8335.408,106383.459,153,0,0,0,406839.359,4039342.316,3746514
9208,Illinois Power Co,IL,2010,1,62497,644962,540478,23610,256799,59796,865,15317,42,79,889,1,87051,917967,600317
12341,MidAmerican Energy Co,IL,2010,1,4962.068,73163.21,75545,3004.951,53966.85,9140,1692.135,43342.76,94,0,0,0,9659.154,170472.82,84779
13032,Mt Carmel Public Utility Co,IL,2010,1,672,5519,4584,176,1378,835,300,2888,101,0,0,0,1148,9785,5520
88888,Total EPM,IL,2010,1,480261,4833412,5074906,389392,4484554,578632,256263,3655831,6018,4435,66441,4,1130351,13040239,5659560
0,Adjustment 2010,IN,2010,1,96592.072,1040406.683,722140,27216.461,326616.117,66655,38819.335,636852.21,4612,0.1,-0.11,0,162627.968,2003874.9,793407
261,AGC Division of APG Inc,IN,2010,1,0,0,0,0,0,0,13626.94,384636,1,0,0,0,13626.94,384636,1
