UTILITY_ID,UTILNAME,STATE_CODE,YEAR,MONTH,RES_REV (Thousand $),RES_SALES (MWh),RES_CONS ,COM_REV (Thousand $),COM_SALES (MWh),COM_CONS,IND_REV (Thousand $),IND_SALES (MWh),IND_CONS,TRA_REV (Thousand $),TRA_SALES (MWh),TRA_CONS,TOT_REV (Thousand $),TOT_SALES (MWh),TOT_CONS
0,Adjustment 2009,AK,2009,1,6541.05,26261.245,30585,8314.598,32767.826,10631,1391.23,7394.973,534,0,0,0,16246.878,66424.044,41750
213,Alaska Electric Light&Power Co,AK,2009,1,3587,16219,13713,2198,10943,2143,1053,5362,91,0,0,0,6838,32524,15947
219,Alaska Power Co,AK,2009,1,676.033,2544.992,4478,879.743,3565.976,2065,0,0,0,0,0,0,1555.776,6110.968,6543
599,Anchorage Municipal Light and Power,AK,2009,1,1829.997,17165.04,23948,7297.496,90566.855,6262,0,0,0,0,0,0,9127.493,107731.895,30210
1651,Bethel Utilities Corp,AK,2009,1,597,1111,1622,1377,2655,1074,0,0,0,0,0,0,1974,3766,2696
3522,Chugach Electric Assn Inc,AK,2009,1,9619,63056,69308,7256,55227,8987,340,2916,6,0,0,0,17215,121199,78301
7353,Golden Valley Elec Assn Inc,AK,2009,1,5359.268,35394.758,36902,2013.629,14054.619,6440,8741.967,74373.789,449,0,0,0,16114.864,123823.166,43791
10210,Ketchikan Public Utilities,AK,2009,1,729.513,7264.149,6100,573.977,6168.5,1159,117.172,1426.448,14,0,0,0,1420.662,14859.097,7273
10433,Kodiak Electric Assn Inc,AK,2009,1,563,3448,4663,309,1952,1072,1048,7142,95,0,0,0,1920,12542,5830
10451,Kotzebue Electric Assn Inc,AK,2009,1,368,782,1117,487,1067,117,0,0,0,0,0,0,855,1849,1234
11824,Matanuska Electric Assn Inc,AK,2009,1,9191,55545,51127,3668,24161,3621,0,0,0,0,0,0,12859,79706,54748
19277,TDX North Slope Generating Co,AK,2009,1,0,0,0,741,5216,69,0,0,0,0,0,0,741,5216,69
19558,Homer Electric Assn Inc,AK,2009,1,4146.494,19665.2,24481,3249.165,16438.87,3607,1168.56,11035.914,26,0,0,0,8564.219,47139.984,28114
88888,Total EPM,AK,2009,1,43207,248456,268044,38365,264784,47247,13860,109651,1215,0,0,0,95432,622891,316506
0,Adjustment 2009,AL,2009,1,95195.166,869931.306,659066,42709.902,389015.893,113654,23650.11,303590.307,1837,0,0,0,161555.178,1562537.506,774557
195,Alabama Power Co,AL,2009,1,182130,1702129,1225806,125625,1202675,206995,91378,1493489,5909,0,0,0,399133,4398293,1438710
4958,Decatur Utilities,AL,2009,1,2673,36874,22527,1908,23527,3927,2695,51056,21,0,0,0,7276,111457,26475
6422,Florence City of,AL,2009,1,6495.207,66681.873,39747,3460.519,32893.709,7308,1083.799,12042.79,725,0,0,0,11039.525,111618.372,47780
