UTILITYID,UTILNAME,STATE,YEAR,MONTH,RES_REV (Thousand $),RES_SALES (MwH),RES_CONS ,COM_REV (Thousand $),COM_SALES (MwH),COM_CONS,IND_REV (Thousand $),IND_SALES (MwH),IND_CONS,OTH_REV (Thousand $),OTH_SALES (MwH),OTH_CONS,TOT_REV (Thousand $),TOT_SALES (MwH),TOT_CONS
0,State Level Adjustment,AK,2005,1,4653,21856,0,6387,31677,0,1073,7335,0,,,0,12114,60868,0
213,Alaska Electric Light&Power Co,AK,2005,1,1491,15162,13275,907,11316,2101,353,4718,101,0,0,0,2751,31196,15477
219,Alaska Power Co,AK,2005,1,544,2296,4318,692,3114,1877,,,,,,,1236,5410,6195
599,Anchorage Municipal Light and Power,AK,2005,1,1689,15882,23821,6247,74328,6071,,,,,,,7936,90210,29892
1651,Bethel Utilities Corp,AK,2005,1,346,1029,1556,771,2592,1031,,,,,,,1117,3621,2587
3522,Chugach Electric Assn Inc,AK,2005,1,7042,61370,67805,5201,56358,8442,254,3176,6,0,0,0,12497,120904,76253
7353,Golden Valley Elec Assn Inc,AK,2005,1,4208,37353,34463,1553,14805,5685,4875,59744,414,,,,10636,111902,40562
10210,Ketchikan Public Utilities,AK,2005,1,554,5811,6048,502,5544,1091,95,1276,14,,,,1151,12631,7153
10433,Kodiak Electric Assn Inc,AK,2005,1,492,3053,4562,281,1811,1089,913,6244,94,,,,1686,11108,5745
10451,Kotzebue Electric Assn Inc,AK,2005,1,349,1253,1223,252,959,34,,,,,,,601,2212,1257
11824,Matanuska Electric Assn Inc,AK,2005,1,4900,46684,44848,1769,20322,3097,,,,,,,6669,67006,47945
19277,TDX North Slope Generating Co,AK,2005,1,,,,400,2944,53,,,,,,,400,2944,53
19558,Homer Electric Assn Inc,AK,2005,1,2167,19544,22145,1667,16908,3474,580,11373,29,,,,4414,47825,25648
88888,Total EPM,AK,2005,1,28435,231293,0,26629,242678,0,8143,93866,0,,,0,63208,567837,0
0,State Level Adjustment,AL,2005,1,66481,870631,0,27190,371444,0,15778,332238,0,,,0,109450,1574313,0
195,Alabama Power Co,AL,2005,1,108916,1612860,1172350,71306,1041298,209374,64742,1849721,5288,,,,244964,4503879,1387012
4958,Decatur Utilities,AL,2005,1,2040,34254,22361,1657,24629,3901,2593,61566,21,,,,6290,120449,26283
6422,Florence City of,AL,2005,1,4228,62857,38289,736,9273,6799,2301,37490,695,,,,7265,109620,45783
9094,Huntsville City of,AL,2005,1,14280,223521,126911,8232,129348,18076,4293,83549,101,,,,26805,436418,145088
9739,Joe Wheeler Elec Member Corp,AL,2005,1,4216,56116,33569,1725,20087,7788,1329,25536,17,,,,7270,101739,41374
17252,Singing River Elec Pwr Assn,AL,2005,1,29,345,251,3,33,15,,,,,,,32,378,266
18642,Tennessee Valley Authority,AL,2005,1,,,,,,,18449,555932,22,,,,18449,555932,22
88888,Total EPM,AL,2005,1,200190,2860584,0,110849,1596112,0,109485,2946032,0,,,0,420525,7402728,0
0,State Level Adjustment,AR,2005,1,25875,405011,0,10479,192708,0,22570,549508,0,,,0,58924,1147227,0
814,Entergy Arkansas Inc,AR,2005,1,49182,702099,563360,24989,452355,83292,24752,570461,20386,,,,98923,1724915,667038
817,Arkansas Valley Elec Coop Corp,AR,2005,1,4682,63052,45936,641,9425,3179,823,20768,12,,,,6146,93245,49127
3093,Carroll Electric Coop Corp,AR,2005,1,5432,86677,61229,976,18571,4292,609,18709,11,,,,7017,123957,65532
5860,Empire District Electric Co,AR,2005,1,220,3560,3303,140,2479,729,204,5496,9,,,,564,11535,4041
6342,First Electric Coop Corp,AR,2005,1,7278,101335,71018,907,11906,4365,805,25596,442,,,,8990,138837,75825
14063,Oklahoma Gas & Electric Co,AR,2005,1,3066,54583,52118,2232,56666,9536,2614,83127,455,0,0,0,7912,194376,62109
17698,Southwestern Electric Power Co,AR,2005,1,5326,104379,91381,4131,101753,16398,3995,122808,838,,,,13452,328940,108617
88888,Total EPM,AR,2005,1,101061,1520696,0,44495,845863,0,56372,1396473,0,,,0,201928,3763032,0
0,State Level Adjustment,AZ,2005,1,8392,95667,0,7149,173951,0,3983,68626,0,,,0,19525,338244,0
