UTILITYID,UTILNAME,STATE,YEAR,MONTH,RES_REV (Thousand $),RES_SALES (MwH),RES_CONS ,COM_REV (Thousand $),COM_SALES (MwH),COM_CONS,IND_REV (Thousand $),IND_SALES (MwH),IND_CONS,OTH_REV (Thousand $),OTH_SALES (MwH),OTH_CONS,TOT_REV (Thousand $),TOT_SALES (MwH),TOT_CONS
19189,Trico Electric Cooperative Inc,AZ,2004,1,2163,22952,27510,907,9299,1325,249,2962,51,,,,3319,35213,28886
19728,"UNS Electric, Inc",AZ,2004,1,5615,55782,69335,4038,40254,12337,1014,13791,10,,,,10667,109827,81682
21538,"Mohave Electric Cooperative, Inc",AZ,2004,1,1977,21820,29648,1027,14265,3421,838,27172,23,,,,3842,63257,33092
24211,Tucson Electric Power Co,AZ,2004,1,19696,252376,335074,12518,134575,32473,15410,218145,676,,,,47624,605096,368223
88888,Total EPM,AZ,2004,1,157368,2164288,0,123224,1848804,0,46579,923597,0,,,0,327170,4936689,0
0,State Level Adjustment,CA,2004,1,36059,351192,0,147014,1792387,0,110987,1447752,0,,,0,295868,3630151,0
4390,City of Corona,CA,2004,1,,,,54,560,35,33,384,2,0,0,0,87,944,37
9216,Imperial Irrigation District,CA,2004,1,8969,82437,97116,12363,113549,16693,799,6215,1583,,,,22131,202201,115392
11208,Los Angeles City of,CA,2004,1,63806,625591,1228437,106815,1181443,183407,15565,185900,14832,1139,13288,2,187325,2006222,1426678
12745,Modesto Irrigation District,CA,2004,1,7008,76641,89255,4649,61095,14094,2488,50151,236,,,,14145,187887,103585
14328,Pacific Gas & Electric Co,CA,2004,1,360974,2726768,4291357,304782,2441529,609844,68218,669814,1038,10,104,1,733984,5838215,4902240
14354,PacifiCorp,CA,2004,1,3510,41549,33878,2009,23641,7417,358,6283,1964,0,0,0,5877,71473,43259
16534,Sacramento Municipal Util Dist,CA,2004,1,42697,433040,492663,5681,58479,50441,29202,351735,11741,208,2635,135,77788,845889,554980
16609,San Diego Gas & Electric Co,CA,2004,1,98306,668444,1150580,68535,517707,138295,14840,155150,454,532,8000,3,182213,1349301,1289332
16612,San Francisco City & County of,CA,2004,1,,,,4029,53489,18,33,799,1,355,9449,1,4417,63737,20
17166,Sierra Pacific Power Co,CA,2004,1,2566,31444,38251,1322,14793,4767,1051,14501,46,,,,4939,60738,43064
17609,Southern California Edison Co,CA,2004,1,312505,2390121,4010177,322330,2779383,515868,61231,618421,40843,582,5741,48,696648,5793666,4566936
17612,Southern California Water Co,CA,2004,1,1411,7412,20754,873,4273,1503,0,0,4,,,,2284,11685,22261
18260,Surprise Valley Electrification Corp,CA,2004,1,256,3709,2635,57,796,776,23,253,705,,,,336,4758,4116
19281,Turlock Irrigation District,CA,2004,1,4808,50277,60940,1429,18615,19439,3104,52837,2890,,,,9341,121729,83269
19840,"Valley Electric Assn, Inc",CA,2004,1,1,9,8,,,,0,3,5,,,,1,12,13
88888,Total EPM,CA,2004,1,942876,7488634,0,981942,9061739,0,307932,3560198,0,,,0,2237384,20188608,0
0,State Level Adjustment,CO,2004,1,19920,256410,0,13761,203691,0,9617,229233,0,,,0,43298,689334,0
3989,Colorado Springs City of,CO,2004,1,9529,131835,171570,9760,159740,22581,6809,130528,614,0,0,0,26098,422103,194765
6604,Fort Collins City of,CO,2004,1,2828,45207,52605,2027,38903,6251,1392,35163,16,,,,6247,119273,58872
9336,Intermountain Rural Elec Assn,CO,2004,1,9852,117928,109886,3134,41725,9326,478,7603,36,,,,13464,167256,119248
10066,K C Electric Association,CO,2004,1,309,3777,3231,339,4923,2311,27,449,693,,,,675,9149,6235
12698,Aquila Inc,CO,2004,1,4553,52928,77163,3714,56575,11114,1897,35675,106,0,0,0,10164,145178,88383
12866,Moon Lake Electric Assn Inc,CO,2004,1,87,1380,1432,767,16769,1071,1312,26898,7,,,,2166,45047,2510
15257,"Poudre Valley R  E  A, Inc",CO,2004,1,2386,33816,29072,365,4792,3019,1431,27562,867,,,,4182,66170,32958
15466,Public Service Co of Colorado,CO,2004,1,57933,707707,1080610,65129,1034454,212572,18859,368884,257,99,1729,1,142020,2112774,1293440
16603,"San Luis Valley R E C, Inc",CO,2004,1,694,7460,7967,282,3422,854,29,553,2514,,,,1005,11435,11335
19499,"United Power, Inc",CO,2004,1,3441,39321,40058,2752,32537,7514,443,7346,674,,,,6636,79204,48246
88888,Total EPM,CO,2004,1,111532,1397769,0,102030,1597531,0,42294,869894,0,,,0,255955,3866923,0
0,State Level Adjustment,CT,2004,1,5272,52461,0,5116,49614,0,2328,40864,0,,,0,12716,142939,0
4176,Connecticut Light & Power Co,CT,2004,1,123043,1077707,1046186,90898,905144,113296,23751,279790,4171,1309,17822,2,239001,2280463,1163655
7716,Groton Dept of Utilities,CT,2004,1,1265,12809,10107,1009,11572,1462,1999,29664,3,0,0,0,4273,54045,11572
19497,United Illuminating Co,CT,2004,1,31829,252867,288934,22292,212931,30301,6435,69726,1928,,,,60556,535524,321163
20038,Wallingford Town of,CT,2004,1,1624,24202,20384,1289,20690,3391,814,13687,27,0,0,0,3727,58579,23802
88888,Total EPM,CT,2004,1,163033,1420046,0,120604,1199951,0,35327,433731,0,,,0,320273,3071550,0
0,State Level Adjustment,DC,2004,1,1669,21764,0,19558,307550,0,,,0,,,0,23255,383374,0
15270,Potomac Electric Power Co,DC,2004,1,12871,180172,181735,26544,408216,22130,,,,,,,39415,588388,203865
88888,Total EPM,DC,2004,1,14540,201936,0,46102,715766,0,1284,28408,0,,,0,62670,971762,0
0,State Level Adjustment,DE,2004,1,2186,22735,0,1576,18371,0,7464,119528,0,,,0,11227,160634,0
5027,Conectiv,DE,2004,1,22712,298742,252722,18420,280604,30526,6465,124433,278,,,,47597,703779,283526
