UTILITY_ID,UTILNAME,STATE_CODE,YEAR,MONTH,RES_REV (Thousand $),RES_SALES (MWh),RES_CONS ,COM_REV (Thousand $),COM_SALES (MWh),COM_CONS,IND_REV (Thousand $),IND_SALES (MWh),IND_CONS,TRA_REV (Thousand $),TRA_SALES (MWh),TRA_CONS,TOT_REV (Thousand $),TOT_SALES (MWh),TOT_CONS
0,Adjustment 2011,AK,2011,1,6234.999,25389.363,30394,8864.339,33363.108,11226,1796.286,8445.807,406,0,0,0,16895.624,67198.278,42026
213,Alaska Electric Light&Power Co,AK,2011,1,1913.906,15780.043,13800,1191.056,11892.612,2172,749.249,8392.574,93,0,0,0,3854.211,36065.229,16065
219,Alaska Power and Telephone Co,AK,2011,1,776.905,2477.956,4683,989.646,3281.279,2102,0,0,0,0,0,0,1766.551,5759.235,6785
599,Anchorage Municipal Light and Power,AK,2011,1,2129.284,15623.676,24102,9781.204,90148.31,6287,0,0,0,0,0,0,11910.488,105771.986,30389
1651,Bethel Utilities Corp,AK,2011,1,513,1070,1652,1207,2634,1009,0,0,0,0,0,0,1720,3704,2661
3522,Chugach Electric Assn Inc,AK,2011,1,7703,58631,69685,5707,52206,9181,428,4537,7,0,0,0,13838,115374,78873
7353,Golden Valley Elec Assn Inc,AK,2011,1,7649.155,35313.889,37697,2984.591,14481.623,6517,12959.69,76348.286,472,0,0,0,23593.436,126143.798,44686
10210,Ketchikan Public Utilities,AK,2011,1,745.697,7409.537,6190,636.745,6932.417,1206,130.425,1595.132,13,0,0,0,1512.867,15937.086,7409
10433,Kodiak Electric Assn Inc,AK,2011,1,577,3360,4689,317,1897,1026,1132,7182,101,0,0,0,2026,12439,5816
10451,Kotzebue Electric Assn Inc,AK,2011,1,351,825,1163,541,1322,130,0,0,0,0,0,0,892,2147,1293
11824,Matanuska Electric Assn Inc,AK,2011,1,7146,53442,52747,2747,24424,3643,0,0,0,0,0,0,9893,77866,56390
19277,TDX North Slope Generating Co,AK,2011,1,0,0,0,1194,6171,75,0,0,0,0,0,0,1194,6171,75
19558,Homer Electric Assn Inc,AK,2011,1,3328.906,18547.911,25303,2633.621,16023.447,3772,683.392,9753.611,25,0,0,0,6645.919,44324.969,29100
88888,Total EPM,AK,2011,1,39069,237870,272105,38794,264777,48346,17879,116254,1117,0,0,0,95742,618902,321568
0,Adjustment 2011,AL,2011,1,106043.063,1034385.803,664198,40744.334,406155.327,118749,24346.268,341283.933,-251,0,0,0,171133.665,1781825.063,782696
195,Alabama Power Co,AL,2011,1,209032,1971918,1235642,123602,1191860,197549,98348,1723123,5763,0,0,.,430982,4886901,1438954
4958,Decatur Utilities,AL,2011,1,3577,42718,22370,2259,24699,3944,2916,45697,22,0,0,0,8752,113114,26336
6422,City of Florence - (AL),AL,2011,1,7284.319,77414.029,39655,3515.023,34202.485,7325,1056.578,12829.324,763,0,0,0,11855.92,124445.838,47743
9094,City of Huntsville - (AL),AL,2011,1,27736,311271,142206,13152,146856,20089,8794,118143,112,0,0,0,49682,576270,162407
9739,Joe Wheeler Elec Member Corp,AL,2011,1,7763,77409,34622,2589,22428,8181,3298,52179,22,0,0,0,13650,152016,42825
17252,Singing River Elec Pwr Assn,AL,2011,1,47.966,484.082,339,6.169,56.036,21,0,0,0,0,0,0,54.135,540.118,360
18642,Tennessee Valley Authority,AL,2011,1,0,0,0,0,0,0,27399,511891,22,0,0,0,27399,511891,22
88888,Total EPM,AL,2011,1,361483,3515600,2139032,185868,1826257,355858,166158,2805146,6453,0,0,0,713509,8147003,2501343
0,Adjustment 2011,AR,2011,1,46386.145,542547.177,383003,16880.029,215042.145,47639,15625.756,245721.117,7645,2.851,24.688,1,78894.781,1003335.127,438288
814,Entergy Arkansas Inc,AR,2011,1,64224.28,857998.79,582552,32778.478,498268.145,89302,27660.54,542764.93,20163,1.21,15.6,1,124664.508,1899047.465,692018
817,Arkansas Valley Elec Coop Corp,AR,2011,1,5891,76004,49168,853,12446,3496,984,20001,14,0,0,0,7728,108451,52678
3093,Carroll Electric Coop Corp - (AR),AR,2011,1,9332,116961,71911,1853,26579,5040,1029,20929,24,0,0,0,12214,164469,76975
5860,Empire District Electric Co,AR,2011,1,367.294,4061.301,3593,205.518,2488.667,747,362.503,5602.582,9,0,0,0,935.315,12152.55,4349
6342,First Electric Coop Corp,AR,2011,1,11703.983,131444.147,80240,1364.661,14265.389,5183,1467.654,30917.46,673,0,0,0,14536.298,176626.996,86096
12681,Mississippi County Electric Co,AR,2011,1,356.646,7705.589,3415,84.501,1708.544,666,11680.423,291360.27,496,0,0,0,12121.57,300774.403,4577
14063,Oklahoma Gas & Electric Co,AR,2011,1,4738,80212,54337,3790,63531,10325,4248,92970,423,0,0,0,12776,236713,65085
17698,Southwestern Electric Power Co,AR,2011,1,8346,119417,95826,6382,102988,17292,5569,109967,639,0,0,0,20297,332372,113757
88888,Total EPM,AR,2011,1,151345,1936351,1324045,64191,937317,179690,68627,1360233,30086,4,40,2,284167,4233942,1533823
0,Adjustment 2011,AZ,2011,1,15168.153,125413.379,170828,13632.689,191517.502,31016,5723.493,97180.016,2587,0,0,0,34524.335,414110.897,204431
