UTILITY_ID,UTILNAME,STATE_CODE,YEAR,MONTH,RES_REV (Thousand $),RES_SALES (MWh),RES_CONS ,COM_REV (Thousand $),COM_SALES (MWh),COM_CONS,IND_REV (Thousand $),IND_SALES (MWh),IND_CONS,TRA_REV (Thousand $),TRA_SALES (MWh),TRA_CONS,TOT_REV (Thousand $),TOT_SALES (MWh),TOT_CONS
0,Adjustment 2008,AK,2008,1,6112.196,24724.315,30698,8059.794,31723.456,10510,1548.989,7613.387,535,0,0,0,15720.979,64061.158,41743
213,Alaska Electric Light&Power Co,AK,2008,1,2015.937,14801.591,13678,1251.812,10568.181,2133,586.169,5267.906,104,0,0,0,3853.918,30637.678,15915
219,Alaska Power Co,AK,2008,1,671,2365,4469,920,3569,2025,0,0,0,0,0,0,1591,5934,6494
599,Anchorage Municipal Light and Power,AK,2008,1,1651.456,16935.599,23989,6541.271,93233.067,6236,0,0,0,0,0,0,8192.727,110168.666,30225
1651,Bethel Utilities Corp,AK,2008,1,487,1211,1569,1098,2861,1141,0,0,0,0,0,0,1585,4072,2710
3522,Chugach Electric Assn Inc,AK,2008,1,7922,60443,69877,5884,54753,8839,290,3241,6,0,0,0,14096,118437,78722
7353,Golden Valley Elec Assn Inc,AK,2008,1,6962.988,36600.926,36751,2693.527,14821.937,6214,12426.917,79951.558,453,0,0,0,22083.432,131374.421,43418
10210,Ketchikan Public Utilities,AK,2008,1,685.599,6935.931,6136,527.449,5821.267,1155,145.356,1654.34,14,0,0,0,1358.404,14411.538,7305
10433,Kodiak Electric Assn Inc,AK,2008,1,646,3332,4645,376,2001,1076,1240,7003,94,0,0,0,2262,12336,5815
10451,Kotzebue Electric Assn Inc,AK,2008,1,312,1146,1234,262,896,36,0,0,0,0,0,0,574,2042,1270
11824,Matanuska Electric Assn Inc,AK,2008,1,6567,52323,50144,2406,23256,3617,0,0,0,0,0,0,8973,75579,53761
19277,TDX North Slope Generating Co,AK,2008,1,0,0,0,688,4470,61,0,0,0,0,0,0,688,4470,61
19558,Homer Electric Assn Inc,AK,2008,1,2437.521,18077.104,24047,1963.004,16239.184,3588,975.33,14312.532,27,0,0,0,5375.855,48628.82,27662
88888,Total EPM,AK,2008,1,36471,238895,267237,32671,264213,46631,17213,119044,1233,0,0,0,86354,622152,315101
0,Adjustment 2008,AL,2008,1,81766.213,888909.802,658660,34948.338,390763.166,114463,23936.293,403325.049,2395,0,0,0,140650.844,1682998.017,775518
195,Alabama Power Co,AL,2008,1,174381,1825121,1209848,113894,1219255,217279,103215,1884723,5852,0,0,0,391490,4929099,1432979
4958,Decatur Utilities,AL,2008,1,2377,35888,22509,1775,24112,3836,2829,61435,19,0,0,0,6981,121435,26364
6422,Florence City of,AL,2008,1,4818.563,62330.345,39384,2728,32830,6899,956,14951,742,0,0,0,8502.563,110111.345,47025
9094,Huntsville City of,AL,2008,1,17243,234444,137003,10070,135499,19412,5202,83727,111,0,0,0,32515,453670,156526
9739,Joe Wheeler Elec Member Corp,AL,2008,1,5019,59163,34655,2035,20859,8160,2226,39829,20,0,0,0,9280,119851,42835
17252,Singing River Elec Pwr Assn,AL,2008,1,37.643,376.469,291,5.101,48.453,18,0,0,0,0,0,0,42.744,424.922,309
18642,Tennessee Valley Authority,AL,2008,1,0,0,0,0,0,0,22105.778,541443.594,22,0,0,0,22105.778,541443.594,22
88888,Total EPM,AL,2008,1,285642,3106233,2102350,165455,1823367,370067,160470,3029434,9161,0,0,0,611568,7959033,2481578
0,Adjustment 2008,AR,2008,1,35970.413,449587.943,375197,14031.741,201647.623,46003,14394.993,256619.118,7412,2.723,22.272,1,64399.87,907876.956,428613
814,Entergy Arkansas Inc,AR,2008,1,61970,747966,578178,32901,477450,87450,30216,563786,19132,1.14,14,1,125088.14,1789216,684761
817,Arkansas Valley Elec Coop Corp,AR,2008,1,6141,70066,48255,964,12273,3412,1161,22555,13,0,0,0,8266,104894,51680
3093,Carroll Electric Coop Corp,AR,2008,1,8191,110670,69908,1640,25683,4861,864,19475,17,0,0,0,10695,155828,74786
5860,Empire District Electric Co,AR,2008,1,397.478,5212.591,3625,220.394,3293.903,756,312.599,6168.996,8,0,0,0,930.471,14675.49,4389
6342,First Electric Coop Corp,AR,2008,1,9983.144,111338.252,76997,1229.492,12969.679,4786,1346.22,30206.696,458,0,0,0,12558.856,154514.627,82241
12681,Mississippi County Electric Coop,AR,2008,1,368.346,7107.884,3497,89.351,1607.913,634,12818.788,303286.996,361,0,0,0,13276.485,312002.793,4492
14063,Oklahoma Gas & Electric Co,AR,2008,1,3565,64958,53399,3385,57596,10023,3782,96946,443,0,0,0,10732,219500,63865
17698,Southwestern Electric Power Co,AR,2008,1,6938,115517,95196,5598,103988,17107,5496,120711,660,0,0,0,18032,340216,112963
88888,Total EPM,AR,2008,1,133524,1682424,1304252,60059,896509,175032,70392,1419755,28504,4,36,2,263979,3998724,1507790
0,Adjustment 2008,AZ,2008,1,13870.96,129364.255,168162,12350.619,187139.178,30193,4248.211,90356.499,2488,0,0,0,30469.79,406859.932,200843
176,Ajo Improvement Co,AZ,2008,1,54,439,862,43,397,173,24,212,1,0,0,0,121,1048,1036
803,Arizona Public Service Co,AZ,2008,1,102798,1082505,983309,83334,916168,118602,12424,160184,3937,0,0,0,198556,2158857,1105848
12919,Morenci Water and Electric,AZ,2008,1,152,1388,1973,124,1212,251,9866,175922,1,0,0,0,10142,178522,2225
13314,Navajo Tribal Utility Authority,AZ,2008,1,1665,16359,25982,2048,17006,3268,809,10081,7,0,0,0,4522,43446,29257
16572,Salt River Project,AZ,2008,1,76989,984342,844754,54543,814197,91569,12381,279148,47,0,0,0,143913,2077687,936370
19189,Trico Electric Cooperative Inc,AZ,2008,1,3623,32369,36373,1406,11878,1786,371,4221,46,0,0,0,5400,48468,38205
19728,"UNS Electric, Inc",AZ,2008,1,7163,71945,79471,4339,45412,10549,1337,16934,14,0,0,0,12839,134291,90034
21538,"Mohave Electric Cooperative, Inc",AZ,2008,1,2905,26644,35160,1510,16243,3965,864,5998,26,0,0,0,5279,48885,39151
24211,Tucson Electric Power Co,AZ,2008,1,23562,286409,362054,14642,149509,34891,17606,275585,645,0,0,0,55810,711503,397590
25866,Ak-Chin Electric Utility Authority,AZ,2008,1,19.89,235,290,103.194,1504,81,2.212,25,45,0,0,0,125.296,1764,416
88888,Total EPM,AZ,2008,1,232802,2631999,2538390,174443,2160665,295328,59932,1018666,7257,0,0,0,467177,5811331,2840975
0,Adjustment 2008,CA,2008,1,-7547.349,402035.612,660969,127885.437,1490901.948,117842,127187.808,1388866.556,5284,2491.357,33298.781,3,250017.253,3315102.897,784098
4390,City of Corona,CA,2008,1,28.127,154.93,335,511.578,2504.822,335,344.153,1027.892,8,0,0,0,883.858,3687.644,678
9216,Imperial Irrigation District,CA,2008,1,13873,113685,142353,14995,127426,22772,1148,9664,1378,0,0,0,30016,250775,166503
11208,Los Angeles City of,CA,2008,1,70539.086,656350.499,1252042,114148.519,1157984.732,185346,16770.145,175271.108,13412,1260.632,15052.273,269,202718.382,2004658.612,1451069
12745,Modesto Irrigation District,CA,2008,1,9424.945,80656.252,91297,6114.898,62924.841,18850,3967.824,59758.505,168,0,0,0,19507.667,203339.598,110315
14328,Pacific Gas & Electric Co,CA,2008,1,475834.749,3147230.417,4979071,342380.669,3027793.094,704679,80602.582,966652.489,1135,0,0,0,898818,7141676,5684885
14354,PacifiCorp,CA,2008,1,5132.741,50716.567,35338,2742.913,29451.335,7714,308.157,5276.766,1982,0,0,0,8183.811,85444.668,45034
14534,City of Pasadena,CA,2008,1,4217,31329,54100,8262,68511,8857,0,0,0,83,676,1,12562,100516,62958
16534,Sacramento Municipal Util Dist,CA,2008,1,51997,483153,523135,6672,61620,54199,33863,387201,13052,213,2629,122,92745,934603,590508
16609,San Diego Gas & Electric Co,CA,2008,1,113166.364,733629.254,1210630,72837.33,555359.995,148328,20272.821,186941.153,511,771.664,8260,4,207048.179,1484190.402,1359473
16612,San Francisco City & County of,CA,2008,1,0,0,0,5245,73376,5,58,1261,1,362,9654,1,5665,84291,7
17166,Sierra Pacific Power Co,CA,2008,1,4601,31691,40835,2174,16291,5412,1625,15486,41,0,0,0,8400,63468,46288
17609,Southern California Edison Co,CA,2008,1,425631,2765184,4225138,368196,3338589,568716,62006,663698,35860,596,5351,55,856429,6772822,4829769
17612,Golden State Water Company,CA,2008,1,2141.303,9125.873,21785,1028.615,4661.237,1484,486.801,3487.976,4,0,0,0,3656.719,17275.086,23273
18260,Surprise Valley Electrification Corp.,CA,2008,1,316,4829,2780,71,1040,824,23,312,741,0,0,0,410,6181,4345
19281,Turlock Irrigation District,CA,2008,1,7980,66536,70588,2238,24615,23622,5064,60618,3362,0,0,0,15282,151769,97572
19840,"Valley Electric Assn, Inc",CA,2008,1,1.823,15.401,14,0,0,0,0.157,1.876,28,0,0,0,1.98,17.277,42
27000,Western Area Power Admn.,CA,2008,1,.,.,.,.,.,.,.,.,.,5.148,104,1,5.148,104,1
88888,Total EPM,CA,2008,1,1177337,8576322,13310410,1075503,10043050,1868985,353727,3925524,76967,5783,75025,456,2612350,22619921,15256818
0,Adjustment 2008,CO,2008,1,32915.657,345632.747,493485,19600.391,236375.471,80906,18430.14,292557.261,7004,0,0,0,70946.188,874565.479,581395
3989,Colorado Springs City of,CO,2008,1,11549.029,143452.364,183222,11338.409,170670.116,24390,5660.884,95109.818,324,0,0,0,28548.322,409232.298,207936
6604,Fort Collins City of,CO,2008,1,3548.259,53086.059,56407,2366.51,41614.427,6853,1519.223,36210.54,17,0,0,0,7433.992,130911.026,63277
9336,Intermountain Rural Elec Assn,CO,2008,1,14609,148614,125475,4366,48450,11049,1049,14819,66,0,0,0,20024,211883,136590
10066,K C Electric Association,CO,2008,1,436.221,3889.369,3190,580.065,5759.55,2266,12.588,157.19,735,0,0,0,1028.874,9806.109,6191
12698,KCP&L Greater Missouri Operations,CO,2008,1,5997.762,60235.61,80651,4461.536,57233.64,11579,2690.637,43829.66,97,0,0,0,13149.935,161298.91,92327
12866,Moon Lake Electric Assn Inc,CO,2008,1,121,2082,1554,216,3124,689,2461,43534,11,0,0,0,2798,48740,2254
15257,"Poudre Valley R  E  A, Inc",CO,2008,1,3953,41391,31056,586,5958,3632,3038,44152,969,0,0,0,7577,91501,35657
15466,Public Service Co of Colorado,CO,2008,1,75724,876386,1128206,73104,1020163,207423,24918,502031,349,296,4281,1,174042,2402861,1335979
16603,"San Luis Valley R E C, Inc",CO,2008,1,1185,9319,8535,402,3464,936,38,512,2616,0,0,0,1625,13295,12087
19499,"United Power, Inc",CO,2008,1,5654.162,54916.984,53284,3811.724,45318.642,8603,492.791,7477.18,638,0,0,0,9958.677,107712.806,62525
27058,"High West Energy, Inc",CO,2008,1,65,707,612,26,279,20,96,374,162,0,0,0,187,1360,794
88888,Total EPM,CO,2008,1,155758,1739712,2165677,120859,1638410,358346,60406,1080764,12988,296,4281,1,337319,4463167,2537012
0,Adjustment 2008,CT,2008,1,16950.953,96810.379,80131,88227.98,563986.363,21856,30265.905,210420.834,1020,2466.585,16293.96,5,137911.423,887511.536,103012
4176,Connecticut Light & Power Co,CT,2008,1,173118.419,970062.542,1047287,70755.906,458441.295,97210,5752.226,16985.095,2902,0,0,0,249626.551,1445488.932,1147399
7716,Groton Dept of Utilities,CT,2008,1,1425.898,10136.929,11112,1415.425,10951.251,1576,3197.515,28385.222,3,0,0,0,6038.838,49473.402,12691
19497,United Illuminating Co,CT,2008,1,43822,197549,292567,15294,76603,30951,1354,6932,1381,0,0,0,60470,281084,324899
20038,Wallingford Town of,CT,2008,1,2597.562,21854.581,20856,2531.664,22386.632,3670,1089.988,11011.557,23,0,0,0,6219.214,55252.77,24549
88888,Total EPM,CT,2008,1,237915,1296413,1451953,178225,1132369,155263,41660,273735,5329,2467,16294,5,460266,2718811,1612550
0,Adjustment 2008,DC,2008,1,245.628,1741.621,1912,68387.983,577762.436,5890,2465.386,24599.113,1,3345.541,26744.338,1,74444.538,630847.508,7804
15270,Potomac Electric Power Co,DC,2008,1,19378.379,180955.608,214027,22494.626,157600.84,20816,0,0,0,0,0,0,41873.005,338556.448,234843
88888,Total EPM,DC,2008,1,19624,182697,215939,90883,735363,26706,2465,24599,1,3346,26744,1,116318,969404,242647
