UTILITYID,UTILNAME,STATE,YEAR,MONTH,RES_REV (Thousand $),RES_SALES (MwH),RES_CONS ,COM_REV (Thousand $),COM_SALES (MwH),COM_CONS,IND_REV (Thousand $),IND_SALES (MwH),IND_CONS,OTH_REV (Thousand $),OTH_SALES (MwH),OTH_CONS,TOT_REV (Thousand $),TOT_SALES (MwH),TOT_CONS
0,State Level Adjustment,AK,2002,1,4036,21717,0,3672,22092,0,683,3419,0,1493,8943,0,9882,56170,0
213,Alaska Electric Light&Power Co,AK,2002,1,1362,13847,12896,359,4059,1400,389,5231,97,476,6685,656,2586,29822,15049
219,Alaska Power Co,AK,2002,1,431,2199,4031,557,3010,1715,0,0,0,0,0,0,988,5209,5746
409,Arctic Utilities Inc,AK,2002,1,0,0,0,382,2560,89,0,0,0,0,0,0,382,2560,89
599,Anchorage Municipal Light and Pow,AK,2002,1,1435,15791,23649,4649,64654,6004,0,0,0,107,1180,4228,6191,81625,33881
653,Andreanof Electric Corp,AK,2002,1,6,15,25,1,2,6,0,0,0,5,10,5,12,27,36
1651,Bethel Utilities Corp,AK,2002,1,331,1169,1548,672,2818,826,0,0,0,0,0,0,1003,3987,2374
3465,Chitina Electric Inc,AK,2002,1,4,11,35,7,26,26,0,0,0,0,2,1,11,39,62
3522,Chugach Electric Assn Inc,AK,2002,1,6333,57945,63675,3396,37122,7889,1205,15177,156,110,609,65,11044,110853,71785
4959,Aniak Light & Power Co Inc,AK,2002,1,46,98,173,52,119,40,0,0,0,0,0,0,98,217,213
5553,Egegik Light & Power Co,AK,2002,1,7,12,42,16,28,39,0,0,0,0,0,0,23,40,81
6111,Central Electric Inc,AK,2002,1,12,23,131,5,15,11,0,0,0,8,16,8,25,54,150
7353,Golden Valley Elec Assn Inc,AK,2002,1,2797,31128,32137,1225,12225,5367,3757,57237,427,0,0,0,7779,100590,37931
7822,Gustavus Electric Inc,AK,2002,1,39,72,328,11,22,78,0,0,0,11,20,27,61,114,433
7833,Gwitchyaa Zhee Utility Co,AK,2002,1,33,102,249,25,75,64,16,34,19,12,18,6,86,229,338
9000,Hughes Power and Light Co,AK,2002,1,4,7,28,4,9,6,0,0,0,1,2,0,9,18,34
9832,Kuiggluum Kallugvia,AK,2002,1,27,60,158,11,25,5,0,0,0,5,25,24,43,110,187
10210,Ketchikan Public Utilities,AK,2002,1,546,5942,5659,511,5869,1039,222,2072,16,40,371,495,1319,14254,7209
10433,Kodiak Electric Assn Inc,AK,2002,1,472,3106,4433,270,1900,941,770,5613,92,18,76,122,1530,10695,5588
10451,Kotzebue Electric Assn Inc,AK,2002,1,199,786,1029,239,975,109,0,0,0,39,166,28,477,1927,1166
11591,Manley Utility Co,AK,2002,1,9,12,65,11,16,16,0,0,0,0,0,0,20,28,81
11824,Matanuska Electric Assn Inc,AK,2002,1,4161,38351,38039,1612,17810,2958,0,0,0,12,53,27,5785,56214,41024
12119,McGrath Light and Power Co,AK,2002,1,31,81,177,31,90,43,0,0,0,33,96,22,95,267,242
13211,Napakiak Ircinraq Power Co,AK,2002,1,24,40,97,8,13,10,0,0,0,5,11,13,37,64,120
18474,Tanana Power Co Inc,AK,2002,1,27,49,158,32,68,16,0,0,0,1,2,1,60,119,175
18521,Teller Power Co Inc,AK,2002,1,12,23,70,19,37,27,0,0,0,0,0,0,31,60,97
19558,Homer Electric Assn Inc,AK,2002,1,1905,17664,20759,1487,15913,3210,656,14467,30,16,134,55,4064,48178,24054
26754,Paxson Inn and Lodge,AK,2002,1,0,0,1,6,21,6,0,0,0,0,0,0,7,21,7
29297,Pelican Utility Inc,AK,2002,1,6,38,74,2,13,16,9,69,23,4,27,63,21,147,176
88888,Total EPM,AK,2002,1,24295,210288,0,19272,191586,0,7707,103319,0,2396,18446,0,53669,523638,0
0,State Level Adjustment,AL,2002,1,59354,847695,0,21451,299473,0,27204,731744,0,2725,38535,0,110734,1917447,0
195,Alabama Power Co,AL,2002,1,112428,1751683,1141524,66745,1050051,196735,56529,1653663,4778,1352,17890,714,237054,4473287,1343751
4958,Decatur Utilities,AL,2002,1,1875,33368,22510,1352,21721,3555,2628,62615,20,69,622,77,5924,118326,26162
6422,Florence City of,AL,2002,1,4060,63323,37445,2138,32772,7579,663,12149,16,77,550,40,6938,108794,45080
9094,Huntsville City of,AL,2002,1,12268,214598,117734,6582,117680,18045,3341,68101,86,239,2515,133,22430,402894,135998
9739,Joe Wheeler Elec Member Corp,AL,2002,1,3992,55843,32404,1415,17364,7377,1304,25567,18,90,914,108,6801,99688,39907
88888,Total EPM,AL,2002,1,193977,2966510,0,99683,1539061,0,91669,2553839,0,4552,61026,0,389881,7120436,0
0,State Level Adjustment,AR,2002,1,23016,372367,0,6121,95582,0,21571,615356,0,897,13669,0,51605,1096973,0
814,Entergy Arkansas Inc,AR,2002,1,49926,638022,548907,24919,399816,78401,27525,536426,19778,1449,23130,515,103819,1597394,647601
817,Arkansas Valley Elec Coop Corp,AR,2002,1,3450,54429,43469,411,6670,2264,543,17083,13,84,1285,578,4488,79467,46324
3093,Carroll Electric Coop Corp,AR,2002,1,4467,75588,54168,746,14802,3873,501,16184,8,17,239,53,5731,106813,58102
5860,Empire District Electric Co,AR,2002,1,219,3113,3072,113,1865,622,159,4317,9,21,340,80,512,9635,3783
6342,First Electric Coop Corp,AR,2002,1,6139,91894,65968,652,12390,2582,606,22035,2,460,1964,831,7857,128283,69383
14063,Oklahoma Gas & Electric Co,AR,2002,1,2513,64795,51068,1490,50942,8181,1353,59407,420,358,8330,1105,5714,183474,60774
17698,Southwestern Electric Power Co,AR,2002,1,4788,89639,86451,2968,72534,14192,4050,130516,580,610,8659,1030,12416,301348,102253
88888,Total EPM,AR,2002,1,94518,1389847,0,37420,654601,0,56308,1401324,0,3896,57616,0,192142,3503387,0
0,State Level Adjustment,AZ,2002,1,11426,145268,0,7570,103765,0,4076,83365,0,2414,110579,0,25487,442978,0
176,Ajo Improvement Co,AZ,2002,1,48,351,856,48,498,132,10,86,1,14,109,52,120,1044,1041
803,Arizona Public Service Co,AZ,2002,1,65885,855817,799649,53230,723674,94593,8608,167077,3598,904,7989,1026,128627,1754557,898866
3611,Citzens Communications Co,AZ,2002,1,4293,50990,64219,2400,28001,9048,812,12970,53,758,9140,3411,8263,101101,76731
12919,Morenci Water and Electric Co,AZ,2002,1,99,893,1677,113,1110,202,5236,130705,1,0,0,0,5448,132708,1880
16572,Salt River Project,AZ,2002,1,48325,849669,702367,32146,603449,61883,9494,284122,43,3392,56668,9932,93357,1793908,774225
24211,Tucson Electric Power Co,AZ,2002,1,20887,250433,319796,11507,112430,31288,13312,216668,705,1284,17905,61,46990,597436,351850
88888,Total EPM,AZ,2002,1,150963,2153421,0,107014,1572927,0,41548,894993,0,8766,202390,0,308292,4823732,0
0,State Level Adjustment,CA,2002,1,65620,716158,0,101582,1286913,0,100470,1561941,0,15036,387251,0,282709,3952262,0
11208,Los Angeles City of,CA,2002,1,58622,579728,1215562,96249,996046,178638,16675,217348,15456,2509,29136,1836,174055,1822258,1411492
14328,Pacific Gas & Electric Co,CA,2002,1,358561,2649435,3956850,304848,2454880,526843,82769,865065,504,7742,50601,23091,753920,6019981,4507288
14354,PacifiCorp,CA,2002,1,2820,40699,33255,1911,24170,7144,285,5610,1942,21,168,138,5037,70647,42479
16534,Sacramento Municipal Util Dist,CA,2002,1,39783,403886,470255,6645,64853,47053,27694,320482,11178,539,6809,2230,74661,796030,530716
16609,San Diego Gas & Electric Co,CA,2002,1,86936,598433,1109059,63509,476336,131970,16400,149557,422,716,5632,1741,167561,1229958,1243192
17166,Sierra Pacific Power Co,CA,2002,1,2373,29975,37838,1169,14776,4693,517,9854,29,6,36,25,4065,54641,42585
17609,Southern California Edison Co,CA,2002,1,337023,2285691,3904684,360571,2784742,472421,79940,769875,44316,7949,62933,11139,785483,5903241,4432560
17612,Southern California Water Co,CA,2002,1,981,7522,20261,699,4602,1486,241,2628,4,7,18,4,1928,14770,21755
88888,Total EPM,CA,2002,1,952719,7311527,0,937183,8107318,0,324991,3902360,0,34525,542584,0,2249419,19863788,0
0,State Level Adjustment,CO,2002,1,20916,310963,0,12871,205954,0,10984,228141,0,3297,64017,0,48069,809075,0
3989,Colorado Springs City of,CO,2002,1,9132,128543,162714,7054,115666,21059,5404,116394,229,969,14932,1108,22559,375535,185110
6604,Fort Collins City of,CO,2002,1,2377,40000,49363,1913,35876,6059,1278,32618,16,2,48,1,5570,108542,55439
9336,Intermountain Rural Elec Assn,CO,2002,1,8474,110346,96994,2505,31501,7965,420,7950,30,45,438,268,11444,150235,105257
12698,"UtiliCorp United, Inc",CO,2002,1,3575,51403,75260,2476,47086,10188,1144,26948,109,307,5099,429,7502,130536,85986
12866,Moon Lake Electric Assn Inc,CO,2002,1,86,1336,1457,539,3673,977,1571,27726,5,4,24,64,2200,32759,2503
15257,"Poudre Valley R  E  A, Inc",CO,2002,1,2048,33513,26434,832,11921,3390,705,21212,2,10,155,110,3595,66801,29936
15466,Public Service Co of Colorado,CO,2002,1,47729,703258,1043671,46066,943363,136419,15625,397679,272,2757,22787,88136,112177,2067087,1268498
88888,Total EPM,CO,2002,1,94337,1379362,0,74256,1395040,0,37131,858668,0,7391,107500,0,213116,3740570,0
0,State Level Adjustment,CT,2002,1,1963,20230,0,1601,15434,0,841,10819,0,789,15401,0,5195,61884,0
4176,Connecticut Light & Power Co,CT,2002,1,97678,934368,1042752,69071,771880,102827,20670,266744,4040,2824,26556,2742,190243,1999548,1152361
7716,Groton Dept of Utilities,CT,2002,1,1015,10882,9889,812,9810,1130,1696,25805,3,86,705,335,3609,47202,11357
19497,United Illuminating Co,CT,2002,1,25642,213706,287124,19552,194712,29771,6480,71942,1677,939,4768,1253,52613,485128,319825
20038,Wallingford Town of,CT,2002,1,1420,20532,20125,1080,16840,3092,839,14037,28,127,2067,183,3466,53476,23428
88888,Total EPM,CT,2002,1,127718,1199718,0,92116,1008676,0,30526,389347,0,4765,49497,0,255126,2647238,0
0,State Level Adjustment,DC,2002,1,135,1130,0,23439,382366,0,0,-85,0,1641,22883,0,25214,406294,0
15270,Potomac Electric Power Co,DC,2002,1,9836,140614,193514,21945,338435,21981,1158,20394,1,465,9687,32,33404,509130,215528
88888,Total EPM,DC,2002,1,9971,141744,0,45384,720801,0,1158,20309,0,2106,32570,0,58618,915424,0
0,State Level Adjustment,DE,2002,1,1861,19683,0,841,19807,0,5238,97852,0,-35,570,0,7905,137912,0
5027,Conectiv,DE,2002,1,20288,264436,245315,16093,248937,28902,8988,190549,298,483,3126,314,45852,707048,274829
5070,Delaware Electric Coop Inc,DE,2002,1,5631,71747,55593,717,9985,4963,53,898,1,64,513,439,6465,83143,60996
5335,Dover City of,DE,2002,1,1408,15490,17314,1355,17497,2823,1373,26259,35,105,798,1,4241,60044,20173
13519,Newark City of,DE,2002,1,700,7508,9525,445,4800,1258,1047,15408,54,0,0,0,2192,27716,10837
88888,Total EPM,DE,2002,1,29888,378864,0,19451,301026,0,16699,330966,0,617,5007,0,66655,1015863,0
0,State Level Adjustment,FL,2002,1,181275,2387842,0,84012,1264394,0,24808,501658,0,4602,68541,0,294698,4222436,0
6452,Florida Power & Light Co,FL,2002,1,343632,3998996,3528213,223501,3138007,69450,19671,355349,15192,5365,43980,2747,592169,7536332,3615602
6455,Florida Power Corp,FL,2002,1,148708,1616959,1303326,57736,856748,148985,15630,270326,2570,13432,210707,20950,235506,2954740,1475831
6457,Florida Public Utilities Co,FL,2002,1,2037,32787,22099,1334,24887,3978,245,8140,2,31,363,24,3647,66177,26103
7801,Gulf Power Co,FL,2002,1,29376,459637,327918,13258,232057,48747,5548,138901,270,209,1796,467,48391,832391,377402
18454,Tampa Electric Co,FL,2002,1,63427,677490,515316,35738,451359,64045,11367,192805,885,9746,105830,5752,120278,1427484,585998
88888,Total EPM,FL,2002,1,768455,9173711,0,415579,5967452,0,77269,1467179,0,33385,431217,0,1294689,17039560,0
0,State Level Adjustment,GA,2002,1,147751,1936304,0,49945,659572,0,23301,584679,0,4472,53000,0,225470,3233555,0
3916,Cobb Electric Membership Corp,GA,2002,1,12759,145220,149686,5218,64589,11400,532,15012,40,840,10376,5312,19349,235197,166438
7140,Georgia Power Co,GA,2002,1,121707,1929056,1703381,131793,2245935,242989,68128,1959058,8009,4118,47725,3250,325746,6181774,1957629
9601,Jackson Electric Member Corp,GA,2002,1,14710,216659,149974,5778,79031,11026,1688,36898,76,951,11711,2362,23127,344299,163438
