UTILITYID,UTILNAME,STATE_CODE,YEAR,MONTH," RESIDENTIAL REVENUES ($1,000) ", RESIDENTIAL SALES (MWh) , RESIDENTIAL CUSTOMERS ," COMMERCIAL REVENUES ($1,000) ", COMMERCIAL SALES (MWh) , COMMERCIAL CUSTOMERS ," INDUSTRIAL REVENUES ($1,000) ", INDUSTRIAL SALES (MWh) , INDUSTRIAL CUSTOMERS ," TRANSPORTATION REVENUES ($1,000) ", TRANSPORTATION SALES (MWh) , TRANSPORTATION CUSTOMERS ," TOTAL REVENUES ($1,000) ", TOTAL SALES (MWh) , TOTAL CUSTOMERS 
88888,Total EPM,DE,2012,2," 50,162.00 "," 380,950.00 "," 399,303 "," 32,010.00 "," 318,602.00 "," 50,655 "," 17,163.00 "," 218,836.00 ", 857 , -   , -   , -   ," 99,336.00 "," 918,388.00 "," 450,815 "
0,Adjustment 2012,FL,2012,2," 197,992.70 "," 1,651,597.42 "," 1,677,405 "," 119,679.42 "," 1,079,327.26 "," 253,907 "," 26,585.88 "," 288,271.68 "," 3,568 ", (0.33), 0.31 , -   ," 344,257.67 "," 3,019,196.66 "," 1,934,880 "
6452,Florida Power & Light Co,FL,2012,2," 353,273.00 "," 3,467,021.00 "," 4,030,484 "," 301,592.00 "," 3,396,563.00 "," 512,312 "," 17,361.00 "," 251,564.00 "," 8,669 ", 554.00 ," 6,630.00 ", 1 ," 672,780.00 "," 7,121,778.00 "," 4,551,466 "
6455,"Duke Energy Florida, Inc",FL,2012,2," 152,732.03 "," 1,161,109.57 "," 1,376,771 "," 111,209.75 "," 1,084,269.12 "," 183,109 "," 22,950.19 "," 253,164.25 "," 2,394 ", -   , -   , -   ," 286,891.96 "," 2,498,542.94 "," 1,562,274 "
6457,Florida Public Utilities Co,FL,2012,2," 2,897.00 "," 20,288.00 "," 23,583 "," 2,640.60 "," 20,799.00 "," 7,380 ", 506.07 ," 3,970.00 ", 2 , -   , -   , -   ," 6,043.68 "," 45,057.00 "," 30,965 "
7801,Gulf Power Co,FL,2012,2," 38,943.00 "," 326,557.00 "," 378,988 "," 28,468.00 "," 277,111.00 "," 54,037 "," 8,959.00 "," 115,743.00 ", 272 , -   , -   , -   ," 76,370.00 "," 719,411.00 "," 433,297 "
9617,JEA,FL,2012,2," 41,154.81 "," 321,858.53 "," 371,279 "," 37,021.57 "," 272,208.72 "," 50,366 "," 11,485.20 "," 183,322.36 ", 217 , 28.27 , 276.85 , 1 ," 89,689.85 "," 777,666.46 "," 421,863 "
18454,Tampa Electric Co,FL,2012,2," 63,402.82 "," 554,175.14 "," 600,545 "," 60,893.98 "," 582,787.95 "," 78,571 "," 14,257.68 "," 161,291.84 "," 1,518 ", -   , -   , -   ," 138,554.48 "," 1,298,254.93 "," 680,634 "
88888,Total EPM,FL,2012,2," 850,395.00 "," 7,502,607.00 "," 8,459,055 "," 661,505.00 "," 6,713,066.00 "," 1,139,682 "," 102,105.00 "," 1,257,327.00 "," 16,640 ", 582.00 ," 6,907.00 ", 2 ," 1,614,588.00 "," 15,479,907.00 "," 9,615,379 "
0,Adjustment 2012,GA,2012,2," 184,068.02 "," 1,706,502.13 "," 1,633,625 "," 80,422.55 "," 744,442.60 "," 198,399 "," 38,918.35 "," 573,797.95 "," 7,635 ", (0.00), 0.05 , -   ," 303,408.91 "," 3,024,742.73 "," 1,839,659 "
3408,City of Chattanooga - (TN),GA,2012,2," 1,348.00 "," 13,915.00 "," 9,258 ", 447.00 ," 4,268.00 "," 1,154 ", 34.00 , 381.00 , 1 , -   , -   , -   ," 1,829.00 "," 18,564.00 "," 10,413 "
3916,Cobb Electric Membership Corp,GA,2012,2," 17,644.00 "," 154,986.00 "," 175,902 "," 8,466.00 "," 85,721.00 "," 21,089 "," 1,388.00 "," 19,599.00 ", 80 , -   , -   , -   ," 27,498.00 "," 260,306.00 "," 197,071 "
7140,Georgia Power Co,GA,2012,2," 197,659.19 "," 1,869,766.88 "," 2,054,320 "," 218,021.16 "," 2,407,165.06 "," 304,126 "," 92,923.61 "," 1,854,995.60 "," 8,268 ", 934.87 ," 13,889.40 ", 1 ," 509,538.83 "," 6,145,816.94 "," 2,366,715 "
9601,Jackson Electric Member Corp - (GA),GA,2012,2," 21,373.00 "," 233,937.00 "," 186,360 "," 11,331.00 "," 110,481.00 "," 20,158 "," 3,122.00 "," 47,442.00 ", 116 , -   , -   , -   ," 35,826.00 "," 391,860.00 "," 206,634 "
88888,Total EPM,GA,2012,2," 422,092.00 "," 3,979,107.00 "," 4,059,465 "," 318,688.00 "," 3,352,078.00 "," 544,926 "," 136,386.00 "," 2,496,216.00 "," 16,100 ", 935.00 ," 13,889.00 ", 1 ," 878,101.00 "," 9,841,290.00 "," 4,620,492 "
0,Adjustment 2012,HI,2012,2, (0.03), (0.09), 16 , 0.07 , 0.03 , (34), (0.04), (0.01), 1 , -   , -   , -   , 0.00 , (0.07), (17)
8287,Hawaii Electric Light Co Inc,HI,2012,2," 13,611.00 "," 32,158.00 "," 68,534 "," 14,277.00 "," 34,583.00 "," 12,643 "," 6,771.00 "," 18,794.00 ", 74 , -   , -   , -   ," 34,659.00 "," 85,535.00 "," 81,251 "
10071,Kauai Island Utility Cooperative,HI,2012,2," 5,576.85 "," 12,923.96 "," 28,086 "," 3,785.04 "," 8,789.19 "," 4,503 "," 4,631.80 "," 11,687.55 ", 133 , -   , -   , -   ," 13,993.69 "," 33,400.70 "," 32,722 "
11843,Maui Electric Co Ltd,HI,2012,2," 11,624.79 "," 31,326.14 "," 58,376 "," 11,413.66 "," 30,023.01 "," 9,770 "," 10,113.74 "," 29,704.18 ", 132 , -   , -   , -   ," 33,152.18 "," 91,053.33 "," 68,278 "
19547,Hawaiian Electric Co Inc,HI,2012,2," 47,520.91 "," 136,482.86 "," 264,147 "," 58,793.13 "," 182,804.69 "," 33,236 "," 64,884.60 "," 223,466.41 ", 363 , -   , -   , -   ," 171,198.64 "," 542,753.96 "," 297,746 "
88888,Total EPM,HI,2012,2," 78,334.00 "," 212,891.00 "," 419,159 "," 88,269.00 "," 256,200.00 "," 60,118 "," 86,401.00 "," 283,652.00 ", 703 , -   , -   , -   ," 253,004.00 "," 752,743.00 "," 479,980 "
0,Adjustment 2012,IA,2012,2," 49,226.46 "," 468,245.59 "," 372,104 "," 23,685.86 "," 277,053.39 "," 57,031 "," 18,734.39 "," 282,309.80 "," 3,112 ", -   , -   , -   ," 91,646.70 "," 1,027,608.78 "," 432,247 "
471,Amana Society Service Co,IA,2012,2, 62.00 , 527.00 , 702 , 61.00 , 645.00 , 180 , 376.00 ," 5,457.00 ", 1 , -   , -   , -   , 499.00 ," 6,629.00 ", 883 
9417,Interstate Power and Light Co,IA,2012,2," 34,108.00 "," 301,821.00 "," 407,692 "," 23,823.00 "," 301,501.00 "," 73,835 "," 26,582.00 "," 545,465.00 "," 2,658 ", -   , -   , -   ," 84,513.00 "," 1,148,787.00 "," 484,185 "
12341,MidAmerican Energy Co,IA,2012,2," 35,241.70 "," 443,774.12 "," 552,385 "," 25,022.63 "," 405,423.16 "," 89,090 "," 28,412.48 "," 726,674.96 "," 1,421 ", -   , -   , -   ," 88,676.81 "," 1,575,872.24 "," 642,896 "
88888,Total EPM,IA,2012,2," 118,638.00 "," 1,214,368.00 "," 1,332,883 "," 72,592.00 "," 984,623.00 "," 220,136 "," 74,105.00 "," 1,559,907.00 "," 7,192 ", -   , -   , -   ," 265,336.00 "," 3,758,897.00 "," 1,560,211 "
0,Adjustment 2012,ID,2012,2," 8,269.94 "," 86,355.63 "," 60,852 "," 2,308.60 "," 33,408.57 "," 7,991 "," 1,598.62 "," 42,657.67 "," 2,030 ", -   , -   , -   ," 12,177.16 "," 162,421.87 "," 70,873 "
9187,City of Idaho Falls - (ID),ID,2012,2," 2,158.00 "," 32,662.00 "," 22,404 "," 1,439.00 "," 23,604.00 "," 3,684 ", 331.00 ," 6,780.00 ", 7 , -   , -   , -   ," 3,928.00 "," 63,046.00 "," 26,095 "
9191,Idaho Power Co,ID,2012,2," 33,910.54 "," 449,723.89 "," 398,556 "," 16,483.48 "," 297,245.58 "," 61,937 "," 10,221.90 "," 235,694.92 "," 17,163 ", -   , -   , -   ," 60,615.92 "," 982,664.39 "," 477,656 "
10454,Kootenai Electric Cooperative,ID,2012,2," 2,540.99 "," 31,506.07 "," 20,463 ", 704.69 ," 8,774.17 "," 1,682 ", 90.25 ," 2,215.69 ", 45 , -   , -   , -   ," 3,335.93 "," 42,495.93 "," 22,190 "
11273,Lower Valley Energy Inc,ID,2012,2, 93.00 ," 1,664.00 "," 1,261 ", 14.00 , 241.00 , 312 , 155.00 ," 3,880.00 ", 40 , -   , -   , -   , 262.00 ," 5,785.00 "," 1,613 "
12692,"Missoula Electric Coop, Inc",ID,2012,2, 5.46 , 56.29 , 36 , 6.89 , 82.08 , 20 , -   , -   , -   , -   , -   , -   , 12.35 , 138.37 , 56 
14354,PacifiCorp,ID,2012,2," 6,239.40 "," 64,831.38 "," 57,716 "," 3,350.23 "," 38,373.69 "," 8,728 "," 7,039.94 "," 135,526.06 "," 5,511 ", -   , -   , -   ," 16,629.57 "," 238,731.13 "," 71,955 "
16565,Salmon River Electric Coop Inc,ID,2012,2, 258.00 ," 3,542.00 "," 2,113 ", 129.00 ," 2,090.00 ", 426 , 622.00 ," 17,601.00 ", 2 , -   , -   , -   ," 1,009.00 "," 23,233.00 "," 2,541 "
20169,Avista Corp,ID,2012,2," 10,049.73 "," 114,154.65 "," 106,516 "," 7,361.55 "," 84,182.28 "," 16,867 "," 5,168.15 "," 96,134.71 ", 474 , -   , -   , -   ," 22,579.43 "," 294,471.64 "," 123,857 "
22814,Raft Rural Elec Coop Inc,ID,2012,2, 164.00 ," 2,381.00 "," 1,267 ", 162.00 ," 3,305.00 ", 312 , 0.51 , 13.70 , 884 , -   , -   , -   , 326.51 ," 5,699.70 "," 2,463 "
88888,Total EPM,ID,2012,2," 63,689.00 "," 786,877.00 "," 671,184 "," 31,959.00 "," 491,306.00 "," 101,959 "," 25,227.00 "," 540,504.00 "," 26,156 ", -   , -   , -   ," 120,876.00 "," 1,818,687.00 "," 799,299 "
0,Adjustment 2012,IL,2012,2," 85,257.39 "," 768,426.42 "," 893,751 "," 217,272.42 "," 2,797,278.66 "," 206,936 "," 204,159.84 "," 3,382,776.67 "," 5,269 "," 2,990.71 "," 50,689.34 ", 2 ," 509,680.35 "," 6,999,171.08 "," 1,105,958 "
4110,Commonwealth Edison Co,IL,2012,2," 236,758.54 "," 1,854,193.65 "," 3,113,478 "," 80,301.28 "," 804,862.58 "," 262,188 "," 4,545.47 "," 68,479.12 ", 131 , -   , -   , -   ," 321,605.29 "," 2,727,535.36 "," 3,375,797 "
12341,MidAmerican Energy Co,IL,2012,2," 3,651.06 "," 50,894.38 "," 75,748 "," 2,996.82 "," 54,032.36 "," 9,142 "," 2,605.05 "," 71,569.46 ", 109 , -   , -   , -   ," 9,252.93 "," 176,496.20 "," 84,999 "
13032,Mt Carmel Public Utility Co,IL,2012,2, 574.00 ," 4,252.00 "," 4,486 ", 179.00 ," 1,279.00 ", 838 , 319.00 ," 2,747.00 ", 99 , -   , -   , -   ," 1,072.00 "," 8,278.00 "," 5,423 "
56697,Ameren Illinois Company,IL,2012,2," 89,423.44 "," 952,829.64 "," 1,024,164 "," 24,623.39 "," 289,336.24 "," 111,022 "," 3,860.52 "," 123,679.46 ", 431 , 105.83 ," 1,789.23 ", 1 ," 118,013.17 "," 1,367,634.56 "," 1,135,618 "
88888,Total EPM,IL,2012,2," 415,664.00 "," 3,630,596.00 "," 5,111,627 "," 325,373.00 "," 3,946,789.00 "," 590,126 "," 215,490.00 "," 3,649,252.00 "," 6,039 "," 3,097.00 "," 52,479.00 ", 3 ," 959,624.00 "," 11,279,115.00 "," 5,707,795 "
0,Adjustment 2012,IN,2012,2," 84,999.12 "," 782,607.01 "," 724,802 "," 29,823.66 "," 319,696.39 "," 68,045 "," 40,867.95 "," 623,798.08 "," 4,400 ", (0.00), -   , -   ," 155,690.73 "," 1,726,101.48 "," 797,247 "
261,AGC Division of APG Inc,IN,2012,2, -   , -   , -   , -   , -   , -   ," 13,111.64 "," 369,751.00 ", 1 , -   , -   , -   ," 13,111.64 "," 369,751.00 ", 1 
9273,Indianapolis Power & Light Co,IN,2012,2," 38,757.48 "," 455,877.87 "," 418,497 "," 15,947.64 "," 160,247.24 "," 47,935 "," 38,620.59 "," 531,430.14 "," 4,687 ", -   , -   , -   ," 93,325.72 "," 1,147,555.25 "," 471,119 "
9324,Indiana Michigan Power Co,IN,2012,2," 31,965.26 "," 378,416.79 "," 398,530 "," 22,695.65 "," 308,209.61 "," 53,354 "," 28,818.83 "," 528,693.31 "," 4,100 ", -   , -   , -   ," 83,479.73 "," 1,215,319.71 "," 455,984 "
13756,Northern Indiana Pub Serv Co,IN,2012,2," 31,101.54 "," 252,374.00 "," 400,582 "," 33,524.28 "," 300,953.00 "," 54,747 "," 49,919.26 "," 746,314.00 "," 2,460 ", 182.27 ," 1,834.00 ", 1 ," 114,727.35 "," 1,301,475.00 "," 457,790 "
15470,Duke Energy Indiana Inc,IN,2012,2," 82,750.51 "," 813,779.89 "," 682,990 "," 55,507.80 "," 633,239.43 "," 101,369 "," 56,882.24 "," 848,825.44 "," 2,736 ", -   , -   , -   ," 195,140.56 "," 2,295,844.75 "," 787,095 "
17633,Southern Indiana Gas & Elec Co,IN,2012,2," 14,268.88 "," 104,930.23 "," 127,902 "," 11,722.41 "," 97,276.06 "," 18,351 "," 16,115.15 "," 224,584.97 ", 116 , -   , -   , -   ," 42,106.44 "," 426,791.26 "," 146,369 "
88888,Total EPM,IN,2012,2," 283,843.00 "," 2,787,986.00 "," 2,753,303 "," 169,221.00 "," 1,819,622.00 "," 343,801 "," 244,336.00 "," 3,873,397.00 "," 18,500 ", 182.00 ," 1,834.00 ", 1 ," 697,582.00 "," 8,482,838.00 "," 3,115,605 "
0,Adjustment 2012,KS,2012,2," 30,099.69 "," 241,450.70 "," 301,070 "," 24,338.95 "," 211,215.58 "," 90,077 "," 19,839.00 "," 254,647.03 "," 10,694 ", -   , -   , -   ," 74,277.64 "," 707,313.30 "," 401,841 "
3892,City of Coffeyville - (KS),KS,2012,2, 423.75 ," 4,102.13 "," 5,160 ", 652.16 ," 6,299.34 "," 1,024 "," 2,877.80 "," 45,920.35 ", 10 , -   , -   , -   ," 3,953.71 "," 56,321.82 "," 6,194 "
5860,Empire District Electric Co,KS,2012,2," 1,077.84 "," 9,716.46 "," 8,466 ", 540.22 ," 4,519.09 "," 1,363 ", 432.69 ," 5,136.88 ", 48 , -   , -   , -   ," 2,050.75 "," 19,372.43 "," 9,877 "
9996,City of Kansas City - (KS),KS,2012,2," 5,207.00 "," 42,795.00 "," 56,118 "," 8,166.00 "," 83,078.00 "," 6,914 "," 3,313.00 "," 46,141.00 ", 94 , -   , -   , -   ," 16,686.00 "," 172,014.00 "," 63,126 "
10000,Kansas City Power & Light Co,KS,2012,2," 20,236.80 "," 198,157.13 "," 213,375 "," 20,828.58 "," 235,226.58 "," 27,174 "," 1,667.99 "," 24,725.72 ", 964 , -   , -   , -   ," 42,733.36 "," 458,109.44 "," 241,513 "
10005,Kansas Gas & Electric Co,KS,2012,2," 20,292.26 "," 207,160.28 "," 279,377 "," 16,825.90 "," 211,191.27 "," 35,335 "," 16,227.02 "," 271,985.66 "," 3,574 ", -   , -   , -   ," 53,345.17 "," 690,337.21 "," 318,286 "
12524,Midwest Energy Inc,KS,2012,2," 2,831.59 "," 25,551.22 "," 29,868 "," 3,686.67 "," 36,544.20 "," 12,846 "," 4,286.90 "," 51,401.87 "," 6,532 ", -   , -   , -   ," 10,805.16 "," 113,497.28 "," 49,246 "
22500,Westar Energy Inc,KS,2012,2," 22,336.59 "," 228,356.45 "," 320,799 "," 26,043.51 "," 330,458.38 "," 47,929 "," 11,717.96 "," 173,837.96 "," 1,271 ", -   , -   , -   ," 60,098.06 "," 732,652.79 "," 369,999 "
88888,Total EPM,KS,2012,2," 102,506.00 "," 957,289.00 "," 1,214,233 "," 101,082.00 "," 1,118,532.00 "," 222,662 "," 60,362.00 "," 873,796.00 "," 23,187 ", -   , -   , -   ," 263,950.00 "," 2,949,618.00 "," 1,460,082 "
0,Adjustment 2012,KY,2012,2," 76,401.09 "," 781,708.52 "," 697,507 "," 29,955.01 "," 318,066.42 "," 81,104 "," 30,224.81 "," 467,230.70 "," 1,668 ", -   , -   , -   ," 136,580.91 "," 1,567,005.64 "," 780,279 "
5748,Electric Energy Inc,KY,2012,2, -   , -   , -   , -   , -   , -   , 67.00 ," 1,920.00 ", 1 , -   , -   , -   , 67.00 ," 1,920.00 ", 1 
9964,Kenergy Corp,KY,2012,2," 4,993.00 "," 64,172.00 "," 45,229 "," 1,718.00 "," 22,673.00 "," 10,079 "," 31,582.00 "," 679,851.00 ", 36 , -   , -   , -   ," 38,293.00 "," 766,696.00 "," 55,344 "
10171,Kentucky Utilities Co,KY,2012,2," 43,009.00 "," 543,882.00 "," 415,945 "," 34,754.00 "," 438,336.00 "," 89,506 "," 29,459.00 "," 552,502.00 "," 2,476 ", -   , -   , -   ," 107,222.00 "," 1,534,720.00 "," 507,927 "
11249,Louisville Gas & Electric Co,KY,2012,2," 26,298.00 "," 289,234.00 "," 345,206 "," 30,697.00 "," 366,339.00 "," 46,543 "," 10,871.00 "," 173,198.00 ", 409 , -   , -   , -   ," 67,866.00 "," 828,771.00 "," 392,158 "
14724,Pennyrile Rural Electric Coop,KY,2012,2," 5,583.00 "," 54,046.00 "," 37,660 "," 2,366.00 "," 21,050.00 "," 9,340 "," 1,920.00 "," 26,115.00 ", 38 , -   , -   , -   ," 9,869.00 "," 101,211.00 "," 47,038 "
17564,South Kentucky Rural E C C,KY,2012,2," 8,290.10 "," 83,186.04 "," 60,529 ", 848.93 ," 7,237.97 "," 5,147 "," 2,475.29 "," 29,951.87 ", 558 , -   , -   , -   ," 11,614.32 "," 120,375.88 "," 66,234 "
18642,Tennessee Valley Authority,KY,2012,2, -   , -   , -   , -   , -   , -   ," 66,132.00 "," 1,458,729.00 ", 16 , -   , -   , -   ," 66,132.00 "," 1,458,729.00 ", 16 
19446,Duke Energy Kentucky,KY,2012,2," 10,566.28 "," 121,942.72 "," 121,199 "," 10,884.80 "," 134,018.52 "," 14,885 "," 4,242.79 "," 62,633.00 ", 379 , -   , -   , -   ," 25,693.87 "," 318,594.24 "," 136,463 "
20130,Warren Rural Elec Coop Corp,KY,2012,2," 7,847.00 "," 80,439.00 "," 50,066 "," 3,000.00 "," 28,123.00 "," 10,324 "," 3,657.00 "," 48,881.00 ", 48 , -   , -   , -   ," 14,504.00 "," 157,443.00 "," 60,438 "
22053,Kentucky Power Co,KY,2012,2," 20,341.42 "," 221,517.61 "," 141,707 "," 10,599.02 "," 110,941.97 "," 30,395 "," 14,814.51 "," 266,777.83 "," 1,369 ", -   , -   , -   ," 45,754.95 "," 599,237.40 "," 173,471 "
49998,City of Berea Municipal Utility,KY,2012,2, 411.56 ," 5,648.81 "," 4,384 ", 166.40 ," 2,224.65 ", 656 , 206.56 ," 3,062.76 ", 52 , -   , -   , -   , 784.52 ," 10,936.22 "," 5,092 "
88888,Total EPM,KY,2012,2," 203,740.00 "," 2,245,777.00 "," 1,919,432 "," 124,989.00 "," 1,449,011.00 "," 297,979 "," 195,652.00 "," 3,770,852.00 "," 7,050 ", -   , -   , -   ," 524,382.00 "," 7,465,639.00 "," 2,224,461 "
0,Adjustment 2012,LA,2012,2," 47,257.75 "," 585,576.48 "," 493,867 "," 23,534.20 "," 292,323.46 "," 62,996 "," 6,738.34 "," 100,060.61 "," 2,636 ", 0.00 , (0.07), -   ," 77,530.30 "," 977,960.48 "," 559,499 "
3265,Cleco Power LLC,LA,2012,2," 27,757.00 "," 252,655.00 "," 237,417 "," 22,018.00 "," 198,856.00 "," 40,173 "," 12,793.00 "," 181,224.00 ", 601 , -   , -   , -   ," 62,568.00 "," 632,735.00 "," 278,191 "
11241,Entergy Louisiana Inc,LA,2012,2," 44,188.51 "," 595,116.68 "," 582,418 "," 37,201.30 "," 476,931.94 "," 81,983 "," 57,534.79 "," 1,337,872.70 "," 6,850 ", -   , -   , -   ," 138,924.61 "," 2,409,921.31 "," 671,251 "
13478,Entergy New Orleans Inc,LA,2012,2," 11,836.00 "," 120,258.44 "," 143,708 "," 17,322.36 "," 203,514.87 "," 15,739 "," 2,480.58 "," 37,216.44 "," 2,283 ", 79.07 , 906.79 , 1 ," 31,718.01 "," 361,896.55 "," 161,731 "
17698,Southwestern Electric Power Co,LA,2012,2," 15,198.00 "," 185,419.00 "," 199,978 "," 12,855.00 "," 177,545.00 "," 24,930 "," 4,973.00 "," 82,799.00 "," 2,043 ", -   , -   , -   ," 33,026.00 "," 445,763.00 "," 226,951 "
55936,Entergy Gulf States - LA LLC,LA,2012,2," 27,840.51 "," 334,204.48 "," 329,500 "," 30,076.73 "," 405,307.37 "," 52,020 "," 36,526.49 "," 747,634.33 "," 3,185 ", -   , -   , -   ," 94,443.73 "," 1,487,146.19 "," 384,705 "
88888,Total EPM,LA,2012,2," 174,078.00 "," 2,073,230.00 "," 1,986,888 "," 143,008.00 "," 1,754,479.00 "," 277,841 "," 121,046.00 "," 2,486,807.00 "," 17,598 ", 79.00 , 907.00 , 1 ," 438,211.00 "," 6,315,423.00 "," 2,282,328 "
0,Adjustment 2012,MA,2012,2," 59,539.57 "," 416,229.36 "," 612,733 "," 124,219.85 "," 942,339.22 "," 137,250 "," 140,471.18 "," 1,159,417.87 "," 12,275 "," 1,457.58 "," 29,701.06 ", 2 ," 325,688.17 "," 2,547,687.52 "," 762,260 "
6374,Fitchburg Gas & Elec Light Co,MA,2012,2," 2,339.48 "," 12,350.73 "," 20,573 ", 973.89 ," 4,832.58 "," 3,210 ", 32.46 , 144.22 , 3 , -   , -   , -   ," 3,345.83 "," 17,327.53 "," 23,786 "
8774,City of Holyoke - (MA),MA,2012,2," 1,068.00 "," 8,724.00 "," 14,507 "," 1,881.00 "," 15,302.00 "," 2,702 ", 449.00 ," 4,648.00 ", 58 , -   , -   , -   ," 3,398.00 "," 28,674.00 "," 17,267 "
11804,Massachusetts Electric Co,MA,2012,2," 93,882.56 "," 647,405.28 "," 1,043,157 "," 33,389.36 "," 222,909.06 "," 117,143 "," 4,321.44 "," 30,740.54 "," 2,797 ", -   , -   , -   ," 131,593.36 "," 901,054.88 "," 1,163,097 "
13206,Nantucket Electric Co,MA,2012,2," 1,028.80 "," 6,392.59 "," 11,212 ", 283.77 ," 1,629.17 "," 1,294 ", 0.18 , 0.89 , 3 , -   , -   , -   ," 1,312.74 "," 8,022.65 "," 12,509 "
15748,Town of Reading - (MA),MA,2012,2," 2,458.00 "," 19,103.00 "," 25,680 ", 272.00 ," 2,415.00 ", 548 ," 3,269.00 "," 30,118.00 "," 2,845 ", -   , -   , -   ," 5,999.00 "," 51,636.00 "," 29,073 "
20455,Western Massachusetts Elec Co,MA,2012,2," 18,575.56 "," 121,136.16 "," 177,201 "," 5,112.17 "," 34,897.73 "," 17,861 "," 1,179.91 "," 8,524.50 ", 681 , -   , -   , -   ," 24,867.65 "," 164,558.39 "," 195,743 "
54913,NSTAR Electric Company,MA,2012,2," 75,355.00 "," 418,798.00 "," 796,158 "," 28,708.00 "," 177,213.00 "," 109,026 "," 13,000.00 "," 97,680.00 "," 2,306 ", -   , -   , -   ," 117,063.00 "," 693,691.00 "," 907,490 "
88888,Total EPM,MA,2012,2," 254,247.00 "," 1,650,139.00 "," 2,701,221 "," 194,840.00 "," 1,401,538.00 "," 389,034 "," 162,723.00 "," 1,331,274.00 "," 20,968 "," 1,458.00 "," 29,701.00 ", 2 ," 613,268.00 "," 4,412,652.00 "," 3,111,225 "
0,Adjustment 2012,MD,2012,2," 87,727.33 "," 677,911.70 "," 611,834 "," 194,543.57 "," 1,851,359.41 "," 115,262 "," 29,610.45 "," 364,118.07 "," 3,908 "," 3,397.86 "," 43,731.93 ", 5 ," 315,279.21 "," 2,937,121.11 "," 731,009 "
84,A & N Electric Coop,MD,2012,2, 27.12 , 226.56 , 275 , 6.48 , 50.67 , 48 , -   , -   , -   , -   , -   , -   , 33.60 , 277.22 , 323 
1167,Baltimore Gas & Electric Co,MD,2012,2," 103,810.00 "," 797,891.00 "," 852,366 "," 29,269.00 "," 239,146.00 "," 68,019 "," 1,295.00 "," 12,203.00 "," 3,053 ", -   , -   , -   ," 134,374.00 "," 1,049,240.00 "," 923,438 "
5027,Delmarva Power,MD,2012,2," 20,832.83 "," 166,362.27 "," 156,108 "," 4,255.16 "," 37,771.36 "," 16,936 ", 117.25 ," 1,488.46 ", 120 , -   , -   , -   ," 25,205.24 "," 205,622.09 "," 173,164 "
15263,The Potomac Edison Company,MD,2012,2," 27,959.00 "," 275,877.20 "," 205,703 "," 6,366.32 "," 59,656.98 "," 19,100 "," 2,090.69 "," 29,263.22 "," 1,733 ", -   , -   , -   ," 36,416.01 "," 364,797.40 "," 226,536 "
15270,Potomac Electric Power Co,MD,2012,2," 47,620.80 "," 375,891.55 "," 384,609 "," 13,134.40 "," 123,153.83 "," 27,220 ", 369.13 ," 5,445.74 ", 5 , -   , -   , -   ," 61,124.32 "," 504,491.13 "," 411,834 "
88888,Total EPM,MD,2012,2," 287,977.00 "," 2,294,160.00 "," 2,210,895 "," 247,575.00 "," 2,311,138.00 "," 246,585 "," 33,483.00 "," 412,518.00 "," 8,819 "," 3,398.00 "," 43,732.00 ", 5 ," 572,432.00 "," 5,061,549.00 "," 2,466,304 "
0,Adjustment 2012,ME,2012,2," 55,512.65 "," 368,065.98 "," 700,560 "," 40,037.11 "," 319,964.15 "," 88,202 "," 17,429.41 "," 225,477.53 "," 2,760 ", -   , -   , -   ," 112,979.17 "," 913,507.65 "," 791,522 "
3266,Central Maine Power Co,ME,2012,2, 1.04 , 6.64 , 32 , 3.19 , 25.00 , 6 , -   , -   , -   , -   , -   , -   , 4.23 , 31.63 , 38 
11477,Town of Madison - (ME),ME,2012,2, 227.58 ," 1,733.57 "," 2,223 ", 54.48 , 404.40 , 281 , 69.75 , 557.71 , 16 , -   , -   , -   , 351.80 ," 2,695.68 "," 2,520 "
88888,Total EPM,ME,2012,2," 55,741.00 "," 369,806.00 "," 702,815 "," 40,095.00 "," 320,394.00 "," 88,489 "," 17,499.00 "," 226,035.00 "," 2,776 ", -   , -   , -   ," 113,335.00 "," 916,235.00 "," 794,080 "
0,Adjustment 2012,MI,2012,2," 39,798.53 "," 328,025.69 "," 426,402 "," 49,420.37 "," 572,390.51 "," 63,211 "," 42,047.25 "," 628,515.51 "," 2,343 ", (0.15), (12.79), -   ," 131,265.99 "," 1,528,918.92 "," 491,956 "
392,Alpena Power Co,MI,2012,2, 847.00 ," 7,346.00 "," 13,664 ", 953.00 ," 8,432.00 "," 3,860 ", 465.00 ," 6,819.00 ", 3 , -   , -   , -   ," 2,265.00 "," 22,597.00 "," 17,527 "
3828,Cloverland Electric Co-op,MI,2012,2," 3,065.80 "," 26,482.70 "," 36,088 "," 2,725.27 "," 24,837.12 "," 6,123 "," 1,304.67 "," 16,095.94 ", 5 , -   , -   , -   ," 7,095.74 "," 67,415.76 "," 42,216 "
4254,Consumers Energy Co,MI,2012,2," 123,624.00 "," 1,005,045.00 "," 1,571,073 "," 88,235.00 "," 838,628.00 "," 208,789 "," 59,408.00 "," 810,494.00 "," 8,425 ", -   , -   , -   ," 271,267.00 "," 2,654,167.00 "," 1,788,287 "
5107,City of Detroit,MI,2012,2, 19.60 , 225.80 , 187 ," 2,381.00 "," 26,789.90 ", 66 , -   , -   , -   , 57.80 , 762.00 , 1 ," 2,458.40 "," 27,777.70 ", 254 
